artifact,score,strict_win,collection_fraction,eliminations,survived,self_kills,invalid_actions,attack_opportunities_per_100_steps,mean_opponent_distance
reference,1.6,0.125,0.1638888888888889,0.025,0.175,0.65,0.425,3.861742526387281,10.790581796154607
control-r1,3.375,0.15,0.2777777777777778,0.175,0.275,0.55,1.025,10.135447812590202,8.088042705473363
control-r2,2.975,0.15,0.2472222222222222,0.15,0.425,0.5,1.775,12.94944813206799,7.710582712413838
control-r3,2.5,0.175,0.20833333333333331,0.125,0.4,0.475,1.05,7.50402500786727,9.555806547156
control-r4,3.25,0.325,0.29166666666666663,0.125,0.375,0.525,1.05,11.972758903017949,7.999266966595713
reduced-r1,2.875,0.25,0.25,0.125,0.375,0.55,1.425,13.425197509187939,8.114818890013762
reduced-r2,2.525,0.1,0.22499999999999998,0.1,0.35,0.5,0.825,10.937683633881226,8.382181231664449
reduced-r3,3.15,0.225,0.26666666666666666,0.15,0.5,0.45,1.575,10.167397921458853,8.521714812427541
reduced-r4,2.1,0.075,0.21944444444444444,0.025,0.5,0.425,1.3,9.912564267846996,8.870012222212138
sparse-r1,2.325,0.125,0.21666666666666665,0.075,0.225,0.7,1.525,11.455956058227816,8.265862220920852
sparse-r2,2.45,0.125,0.24444444444444444,0.05,0.3,0.525,1.45,15.620685661725982,7.724009243642822
sparse-r3,2.125,0.1,0.20833333333333331,0.05,0.125,0.825,0.825,7.43313791357548,9.058131713393427
sparse-r4,2.7,0.1,0.24444444444444444,0.1,0.475,0.475,1.375,10.138222472762836,9.01178548340807
