artifact,score,strict_win,collection_fraction,eliminations,survived,self_kills,invalid_actions,attack_opportunities_per_100_steps,mean_opponent_distance
reference,1.375,0.075,0.15277777777777776,0,0.2,0.75,0.5,4.9394498346896185,10.53444645924611
control-r1,2.25,0.175,0.20833333333333331,0.075,0.35,0.525,1.55,9.839537651147666,8.688821504871449
control-r2,2.4,0.175,0.2111111111111111,0.1,0.25,0.725,1.125,11.714315895950701,8.171376303563681
control-r3,2.8,0.225,0.22777777777777777,0.15,0.4,0.45,1.125,9.734235710637892,8.171325418734074
control-r4,1.65,0.1,0.16944444444444443,0.025,0.25,0.625,0.875,9.580145051157258,9.400171316941805
control-r5,1.925,0.15,0.17222222222222222,0.075,0.325,0.625,0.825,7.6340410441344675,9.508285613485494
control-r6,1.7,0.05,0.1611111111111111,0.05,0.275,0.55,1.275,7.588772443627871,9.06117295887455
minimal-r1,1.575,0.075,0.10555555555555556,0.125,0.175,0.675,0.45,6.020487151962484,9.61341729930269
minimal-r2,2.075,0.15,0.1611111111111111,0.125,0.25,0.675,0.525,4.9450601971494805,10.019187810784773
minimal-r3,1.725,0.05,0.15,0.075,0.125,0.7,0.75,8.110703075341236,9.003903624885885
minimal-r4,1.875,0.15,0.1388888888888889,0.125,0.25,0.625,0.375,5.047404903029086,10.196299932309042
minimal-r5,2.15,0.2,0.18333333333333332,0.1,0.075,0.9,0.35,4.815662476496638,9.664717818992997
minimal-r6,1.9,0.1,0.16944444444444443,0.075,0.125,0.85,0.675,7.078253806520492,8.736739342506933
reduced-r1,2.275,0.1,0.2111111111111111,0.075,0.3,0.65,0.925,10.864979200221041,8.518456891553353
reduced-r2,2.2,0.125,0.20277777777777778,0.075,0.2,0.775,1.325,8.532147782310808,8.706683321615083
reduced-r3,1.975,0.15,0.19166666666666665,0.05,0.375,0.525,1.025,8.712708753200745,9.450110834529
reduced-r4,2.325,0.075,0.21666666666666665,0.075,0.275,0.55,0.725,9.137443675277806,8.188743637338261
reduced-r5,1.775,0.05,0.18333333333333332,0.025,0.275,0.65,0.775,5.766134594382641,9.866243626078992
reduced-r6,1.95,0.175,0.175,0.075,0.4,0.575,0.925,7.790747001940167,9.987274546447008
