artifact,episode,worlds,score,self_kills,survived,eliminations,coins,crates_destroyed,invalid
control-r1,000600,40,2.95,0.75,0.2,0.125,2.325,31.275,1.05
control-r1,001200,40,2.45,0.5,0.325,0.025,2.325,31.95,1.775
control-r1,001800,40,3.55,0.6,0.3,0.225,2.425,30.55,1.125
control-r1,002400,40,3.025,0.4,0.525,0.1,2.525,31.825,1.725
control-r2,000600,40,2.4,0.55,0.4,0.075,2.025,24.625,0.825
control-r2,001200,40,2.65,0.525,0.325,0.025,2.525,30.525,1.275
control-r2,001800,40,3.1,0.45,0.45,0.125,2.475,31.275,0.925
control-r2,002400,40,2.65,0.325,0.55,0.025,2.525,32.975,1.675
control-r3,000600,40,2.6,0.575,0.325,0.1,2.1,25.35,0.9
control-r3,001200,40,2.7,0.55,0.35,0.075,2.325,30.325,1.15
control-r3,001800,40,2.725,0.55,0.325,0.075,2.35,30.15,1.625
control-r3,002400,40,3.175,0.6,0.325,0.15,2.425,29.175,1.3
reference,final,40,3.1,0.7,0.225,0.175,2.225,26.825,1.175
treatment-r1,000600,40,2.475,0.65,0.3,0.05,2.225,26.825,0.95
treatment-r1,001200,40,2.625,0.65,0.2,0.1,2.125,27.65,1.25
treatment-r1,001800,40,3.05,0.525,0.35,0.125,2.425,26.675,0.75
treatment-r1,002400,40,2.775,0.45,0.45,0.1,2.275,28.475,1.3
treatment-r2,000600,40,2.875,0.475,0.45,0.075,2.5,27.25,0.75
treatment-r2,001200,40,2.2,0.6,0.25,0.025,2.075,24.725,1
treatment-r2,001800,40,2.025,0.575,0.3,0,2.025,27.675,1.025
treatment-r2,002400,40,2.6,0.625,0.275,0.05,2.35,28.775,0.85
treatment-r3,000600,40,2.575,0.525,0.325,0.075,2.2,25.05,1.2
treatment-r3,001200,40,2.7,0.5,0.375,0.125,2.075,29.6,1
treatment-r3,001800,40,2.65,0.675,0.25,0.125,2.025,27.7,1.15
treatment-r3,002400,40,2.6,0.6,0.25,0.05,2.35,29.625,1.2
