artifact,score,strict_win,collection_fraction,eliminations,survived,self_kills,invalid_actions,attack_opportunities_per_100_steps,mean_opponent_distance
reference,2.2,0.175,0.20277777777777778,0.075,0.2,0.75,0.95,5.973098980026001,10.15234776354107
control-r1,2.225,0.1,0.20555555555555555,0.075,0.2,0.675,0.75,7.847092512489143,9.109866390657478
control-r2,2.15,0.125,0.19722222222222222,0.075,0.275,0.675,0.725,7.7422153441546255,8.643960124032995
control-r3,2.95,0.15,0.24444444444444444,0.15,0.45,0.425,1.475,10.649114757812889,8.627256591349154
control-r4,2.575,0.125,0.24444444444444444,0.075,0.425,0.55,0.85,8.144409224377345,9.139662862811647
control-r5,2.375,0.175,0.2361111111111111,0.05,0.45,0.525,1.35,10.146660237667724,8.306848592678733
control-r6,2.15,0.075,0.2111111111111111,0.05,0.3,0.65,1.225,10.597251262586273,8.458762152241496
treatment-r1,2.5,0.15,0.2222222222222222,0.1,0.225,0.65,0.7,9.861225254296272,8.355089265149541
treatment-r2,2.725,0.15,0.23333333333333334,0.125,0.2,0.625,1.4,9.834739153174661,8.27713381629457
treatment-r3,1.925,0.075,0.1861111111111111,0.05,0.2,0.65,0.6,6.7220794999566555,9.019961664970054
treatment-r4,2.125,0.1,0.18055555555555555,0.1,0.175,0.75,0.9,7.62218576879118,9.023810927897543
treatment-r5,2.1,0.075,0.20555555555555555,0.05,0.3,0.675,0.95,12.894040464002588,8.19321080403955
treatment-r6,2.6,0.15,0.2333333333333333,0.1,0.35,0.55,0.95,7.6361025576112835,9.204969124836431
