artifact,score,strict_win,collection_fraction,eliminations,survived,self_kills,invalid_actions,attack_opportunities_per_100_steps,mean_opponent_distance
reference,2.35,0.1,0.23333333333333334,0.05,0.3,0.625,1.025,6.562274082549421,10.137549104919922
control-r1,1.35,0.05,0.1361111111111111,0.025,0.075,0.9,0.35,5.930376516157379,9.40588055111039
control-r2,0.7,0,0.07777777777777778,0,0.05,0.875,0.25,4.365712747327368,10.232995259813494
control-r3,1.025,0.025,0.09999999999999999,0.025,0.15,0.825,0.275,3.8729125454496685,10.026353371115992
control-r4,1.65,0.075,0.14166666666666666,0.075,0.15,0.75,0.55,7.357354935037679,9.174098025485499
control-r5,1.275,0.025,0.14166666666666666,0,0.2,0.75,0.425,5.463594471338611,9.685867638865856
control-r6,1.325,0.05,0.11944444444444444,0.05,0.125,0.85,0.225,3.923471738833128,10.086342089317418
treatment-r1,2.875,0.175,0.2638888888888889,0.1,0.4,0.5,0.425,7.990880966751211,8.75721808104479
treatment-r2,2.925,0.25,0.22777777777777777,0.175,0.45,0.425,1.05,11.68581090869809,8.035768947958578
treatment-r3,2.35,0.2,0.2472222222222222,0.025,0.425,0.5,1.25,9.395612955423669,9.191123702727124
treatment-r4,2.75,0.2,0.25,0.1,0.45,0.5,1.7,12.62558834039643,8.008392885259841
treatment-r5,2.325,0.2,0.23055555555555554,0.05,0.475,0.5,0.825,8.122151432774057,9.599830437162609
treatment-r6,2.675,0.15,0.22777777777777777,0.125,0.55,0.35,1.475,13.86565804597088,7.9902080342726345
