treatment,replica,scenario,world_seed,agent_seed,collection_fraction,opponents_eliminated,self_kills,score,invalid_actions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match
control,r1,peaceful,204101,304101,0.3333333333333333,0,0,3,2,0.906789302825927,2.1088123321533203,0177a071f3f6f4a1f88b6d10f080f8a7a5adfd8c2ae99cef9b63c21216f6677f,True
control,r1,peaceful,204102,304102,0.2222222222222222,0,0,2,4,1.1960983276367185,4.606962203979492,76300a178551d527987eb37c064bc460098998f5e3e7d8760e6502fb83d40a79,True
control,r1,peaceful,204103,304103,0.5555555555555556,0,0,5,6,1.1669874191284169,2.2199153900146484,0f095f49cd5eaf0fee21af9b6c5766ca4cfdb0609e1e211b03c3ad8aaf471143,True
control,r1,peaceful,204104,304104,0.5555555555555556,0,0,5,4,0.6274104118347167,1.399993896484375,e2ba2ae3f6909bdd55d6b04870734eb08909722a48729d81597dd10dae223f7b,True
control,r1,peaceful,204105,304105,0.2222222222222222,0,0,2,0,0.5356073379516596,0.9829998016357422,e554d15f5c863c64fa02b883f767075b9f094ee6351ea02b64d50d79be4a12e1,True
control,r1,peaceful,204106,304106,0.2222222222222222,1,0,7,0,0.6979584693908681,3.9141178131103516,4021a718fcbfa09351a1151edc88842c61265c7c46f67c24d520f54c42b246b9,False
control,r1,peaceful,204107,304107,0.3333333333333333,0,0,3,0,0.6106138229370104,1.4200210571289062,1abb396e4030923a8d628b9798775aa26cb2870c6d617dc31f7cc3eb2274e7b9,True
control,r1,peaceful,204108,304108,0.2222222222222222,0,0,2,1,0.6337881088256829,2.171754837036133,6de562604a2afcb32fb4b2dbcf0c2b4eaa65ee7c4cec3093a37c3626193ee48a,True
control,r1,peaceful,204109,304109,0.2222222222222222,0,0,2,0,0.7042407989501951,1.9268989562988281,622b056d4239f72fefb04cd904bea2d2e3d511afcf10060865bf12caa95490cc,True
control,r1,peaceful,204110,304110,0.1111111111111111,0,0,1,1,0.7285237312316891,3.306150436401367,c501c9ba85fe8f80ee9ff93353f137654720776dd27462e00ce106e1cac64e41,True
control,r1,peaceful,204111,304111,0.4444444444444444,1,0,9,3,0.44286251068115223,1.271963119506836,16089c2eb9c71cc8cfa7c1d1e4489f26b0bad36c27a9e5ccd735f02db0241ad8,False
control,r1,peaceful,204112,304112,0.2222222222222222,0,0,2,2,0.5934953689575191,1.0991096496582031,c0fd02344ad6803a70e8fc28a8f363c91d3aca16b05b9a1d13ca247c1778a652,True
control,r1,peaceful,204113,304113,0.0,0,0,0,0,0.6362080574035632,1.9860267639160156,ea965179539f728b46a90c99a061d923d494ee47a4ec2c805b9007460bd4088b,True
control,r1,peaceful,204114,304114,0.5555555555555556,0,0,5,3,1.1039018630981439,5.626201629638672,64d71001d2dc6867fceeedeeb3f734cb16982ae4eed719a6fe027774583a1933,True
control,r1,peaceful,204115,304115,0.0,0,0,0,0,0.7005691528320309,2.070903778076172,d880485ce172db56ee26f0787fee027c226b35aab8c4a0f4ffe9a0ccc0120520,True
control,r1,peaceful,204116,304116,0.0,0,0,0,0,0.5473852157592769,1.3210773468017578,2ee5fc63a420513d6e053ef9fdfbfe13f460ca25278b86e27d2fef44e987d874,True
control,r1,peaceful,204117,304117,0.2222222222222222,0,1,2,1,0.41961669921874967,0.7050037384033203,66757e1bb5ae0ddfc84bb3f95d91bce1799f0313d63878b505d7c7f9b1645be8,True
control,r1,peaceful,204118,304118,0.2222222222222222,0,0,2,0,1.0735869407653802,3.4890174865722656,4cb236dd19b614624da68cde42f3fd052e5bab28cdf1dcc7fcc07d002e35f1aa,True
control,r1,peaceful,204119,304119,0.2222222222222222,0,0,2,0,1.03318691253662,4.415035247802734,c08dbb38e9415a4463d00f43b6ee52974e414efd5db080ff452e756cdb9b7fc3,True
control,r1,peaceful,204120,304120,0.5555555555555556,0,0,5,19,1.1988401412963867,2.344846725463867,633f271f92d141fea2345a8cdb37acb233d6e49218c29c118b04cf93cfc31c29,True
control,r1,coincollector,204201,304201,0.1111111111111111,0,0,1,9,1.1245846748352046,4.009008407592773,75ab862109e06ba23d88f258a8d135a16f468d92ac50f06185c00d21493fb51c,False
control,r1,coincollector,204202,304202,0.6666666666666666,0,0,6,13,1.2721180915832517,4.189014434814453,2e6c166fece69c3c00be3c05142148e2f3445131bb85a9b968125af01846c21f,False
control,r1,coincollector,204203,304203,0.1111111111111111,0,1,1,4,0.6719231605529777,1.3408660888671875,262aa4e82f656b89d1a1f12c39f069ae3ce663eb56782e145d3626f05f3e0bd4,False
control,r1,coincollector,204204,304204,0.3333333333333333,0,0,3,14,2.3642778396606423,7.500886917114258,17fc644c0d1fc2be8bf905b958416ffacd91bbf3c1276202684867b73220086d,False
control,r1,coincollector,204205,304205,0.1111111111111111,0,1,1,6,1.5878200531005853,2.0492076873779297,5d23724218b5a93d5e08efcb1a68d8501be2a4750bc914f3d79d9a1e14206522,False
control,r1,coincollector,204206,304206,0.2222222222222222,0,0,2,9,1.1748671531677222,3.087282180786133,5e62bc85a6b6777d2e606b69ea09e2a9e693bf002ee7f797eb0aa2eb0e4ef0a0,False
control,r1,coincollector,204207,304207,0.3333333333333333,0,0,3,6,0.6993651390075678,2.3941993713378906,c9cf290c0f32615ee5cf9fb919b2215231759a7bd9c7a856a09173042ba02fb7,False
control,r1,coincollector,204208,304208,0.2222222222222222,0,0,2,18,0.9891390800476062,2.006053924560547,a124cbf30ddaa67697fa9910f15d750b05f17d87012b9873fd392f1f00086f99,False
control,r1,coincollector,204209,304209,0.4444444444444444,0,0,4,10,1.0681271553039549,3.9441585540771484,67baf241b6ac70bdb6194d5f324ebbd71bbc42ad1e0b12898e740deddad956d2,False
control,r1,coincollector,204210,304210,0.1111111111111111,0,0,1,12,1.0132908821105955,2.9449462890625,dd4ed4890c09c6e2b3c99d6ff4c73d84dfa79d375cd7efe46d7ccd2f9a0c33e8,False
control,r1,coincollector,204211,304211,0.1111111111111111,0,0,1,10,1.57222747802734,5.6171417236328125,2ec31467a07b6a1bbe81cea96bd431f4816f731434adaaa2f4acf7949125e231,False
control,r1,coincollector,204212,304212,0.3333333333333333,0,0,3,10,0.8202910423278809,1.7750263214111328,03065b4b287cf64719a46e2eb988b51f4ca0d65a1638540b359270aaec5ccb76,False
control,r1,coincollector,204213,304213,0.3333333333333333,0,0,3,6,1.1223077774047856,3.496885299682617,f60056a2e55a28a3824549ba0fc51e44a1c909663281e2f5412bf2a6b136cc03,False
control,r1,coincollector,204214,304214,0.4444444444444444,0,0,4,3,0.8910298347473145,3.384113311767578,0921a3a52e1052d4fd280d0a4739a52f777022871ec7a946515a314519b33600,False
control,r1,coincollector,204215,304215,0.5555555555555556,1,0,10,1,0.7650136947631835,2.0971298217773438,ddbdfd87e185440e87d6855f3e0f91895bacebcf7dae5a8c3dd435ea5686237e,False
control,r1,coincollector,204216,304216,0.2222222222222222,0,1,2,3,1.2097001075744627,2.089977264404297,57493155dc6b697439e86a7f0f6236686f91f68649d3655a9cf2f001381e1fa8,False
control,r1,coincollector,204217,304217,0.3333333333333333,0,1,3,4,1.9958019256591788,8.78000259399414,f1e69608cb338908f39909d071cca30f41dab774b4d359b1ec8222012753a2da,False
control,r1,coincollector,204218,304218,0.4444444444444444,0,0,4,7,1.2828230857849114,2.285003662109375,70addb3b0f7ea39bd44ffe07dcb7b12afdc05ed1049920565fc9525330bb58bd,False
control,r1,coincollector,204219,304219,0.2222222222222222,1,0,7,16,0.9885549545288089,7.706880569458008,0f9b16d006a303f2d3d5819ed50995d3413507fb03d780fc72aa3be3c0c21299,False
control,r1,coincollector,204220,304220,0.3333333333333333,0,1,3,14,0.4733562469482422,0.6380081176757812,20c6612648ba1bb6e14850817c8a7a0b8884172fb4e7540a18be0c840e969b95,False
control,r1,classic,204301,304301,0.0,0,0,0,0,0.11812448501586904,0.2601146697998047,245d699e2f89cf6739db1574bea80bfe69a3066523f26b994e9a4794df880474,True
control,r1,classic,204302,304302,0.0,0,0,0,0,0.1328110694885254,0.4296302795410156,b0d13ac8e8ae701568c57582cfb2b01a89daafbe459ba3ee1443bb7bfc5bdefe,True
control,r1,classic,204303,304303,0.1111111111111111,0,0,1,0,0.14691352844238276,0.2810955047607422,2af3a2b05001127fe000c50aa51b62821c9a1d8ea08ec6801b8a26d6f5579b6a,True
control,r1,classic,204304,304304,0.4444444444444444,0,0,4,4,0.1722216606140136,0.3612041473388672,369470549ebe511e8835fabf0974595851bd09e102aa68a22617307b868b634a,True
control,r1,classic,204305,304305,0.5555555555555556,0,0,5,1,0.1640677452087402,0.4420280456542969,c7c2f3f534e6c9502b544f628e9eff8ea474544d021819c384bb79293fb4c432,True
control,r1,classic,204306,304306,0.4444444444444444,0,0,4,3,0.1650810241699218,0.48995018005371094,6e0d0c95643fd8b8e7e3f905e6393caf0942456c4d40351a68f20e66ca95c23b,True
control,r1,classic,204307,304307,0.0,0,0,0,1,0.11516809463500975,0.29015541076660156,dd19d14be204d37989689e0897ae893e2931724a849b36c1b4f86444991861a6,True
control,r1,classic,204308,304308,0.4444444444444444,0,0,4,6,0.15922784805297832,0.33211708068847656,715bf4c98cbcf8ca400a161ec2ec7b5b0bf7ac7dd340f8da14b3f183e75c9168,True
control,r1,classic,204309,304309,0.1111111111111111,0,0,1,0,0.11806488037109371,0.4372596740722656,160f28b2145c29fea546119e522f072ec5d6544a6f906c3d5b155efacbc6b29e,True
control,r1,classic,204310,304310,0.5555555555555556,0,0,5,18,0.17503499984741208,0.27680397033691406,1daa3e9ee466d111959cd1dcf763e5beb0ce5607131a77190ad1ba95ef12558f,True
control,r1,classic,204311,304311,0.1111111111111111,0,0,1,0,0.14519691467285156,0.537872314453125,38bb094921d904abceec6923caa31ed4d562315feca0681cddb4cf8378d2668f,True
control,r1,classic,204312,304312,0.3333333333333333,0,0,3,1,0.1273393630981445,0.2758502960205078,1912004ff2a7f94f7dd2f271e6560e260b5b327ca285d05234d9a16a69e5414c,True
control,r1,classic,204313,304313,0.0,0,0,0,0,0.14213323593139646,0.3209114074707031,3341a52ab0761c4e4752a7d4dbef89cc963a0173f0636f58a8b488ae1610c380,True
control,r1,classic,204314,304314,0.2222222222222222,0,0,2,0,0.18888711929321284,0.5390644073486328,e450ef28b0f15200d30998e147fc40a9cdd4340b54be5efe8908edc78c59b7df,True
control,r1,classic,204315,304315,0.7777777777777778,0,0,7,1,0.30127763748168823,1.2478828430175781,a2ea159f920d12dca95d97ce7b6b0b93f94a6fd791c8697f0619b54260f000a8,True
control,r1,classic,204316,304316,0.0,0,0,0,0,0.20800828933715723,0.8919239044189453,914b632c7906ebf547421992aceb7161150ba5bdf1e09224b3c8ad118887efce,True
control,r1,classic,204317,304317,0.1111111111111111,0,0,1,1,0.19884109497070226,0.8211135864257812,1dc700b8fc06f7a1f21bd11d3679490609c97718dea5606e0bff5b43fa07a3a6,True
control,r1,classic,204318,304318,0.3333333333333333,0,0,3,4,0.4355311393737787,1.1839866638183594,9b899782570447b831279cf40ad8412d6be0ea61875fe0e6da510e90f63bf6fc,True
control,r1,classic,204319,304319,0.1111111111111111,0,0,1,1,0.5083799362182614,0.8721351623535156,4125646fde3ab4b40a2102a82bb8b62fb4a5fce93d33e8527079fc73ea14853b,True
control,r1,classic,204320,304320,0.0,0,0,0,0,0.16614198684692363,0.8378028869628906,19050ff7cf3551e8dc7074a7408a422feb81adf9797de4a5c807b9955719da6f,True
control,r1,coin-heaven,204401,304401,1.0,0,0,50,0,0.5930423736572265,0.9450912475585938,d3af018a7dcb008a38c31059721eb4d4d6779a9423f0e1fb5d8d67a0989d2c7d,True
control,r1,coin-heaven,204402,304402,1.0,0,0,50,1,0.5019903182983398,1.5671253204345703,786ad1c797a48010fda2fa69b902e5e44470798321e0a090e9065208f942a130,True
control,r1,coin-heaven,204403,304403,1.0,0,0,50,0,0.7984161376953123,2.8448104858398438,2bb7feb9edea2fa35d1a3cb7e9bfc1ef51ec1be63deb61cf6c16cc11cac649ee,True
