treatment,replica,scenario,episodes,mean_collection_fraction,mean_opponents_eliminated,self_kill_rate,mean_score,invalid_action_rate,decision_time_p95_ms,decision_time_max_ms
candidate,r1,classic,20,0.37222222222222223,0.0,0.05,3.35,6.95,1.3685464859008785,19.989967346191406
candidate,r1,coin-heaven,20,0.9029999999999999,0.0,0.1,45.15,0.1,2.1322727203369136,6.682872772216797
candidate,r1,coincollector,20,0.28888888888888886,0.05,0.2,2.85,17.2,1.96156501770019,25.511980056762695
candidate,r1,loot-crate,20,0.24100000000000002,0.0,0.05,12.05,25.4,1.6842484474182118,21.81696891784668
candidate,r1,peaceful,20,0.40555555555555556,0.25,0.05,4.9,5.55,1.758527755737304,8.387088775634766
candidate,r2,classic,20,0.31666666666666665,0.0,0.0,2.85,17.5,1.501333713531494,5.075931549072266
candidate,r2,coin-heaven,20,0.9029999999999999,0.0,0.1,45.15,0.1,0.680387020111084,1.4548301696777344
candidate,r2,coincollector,20,0.17777777777777776,0.05,0.35,1.85,9.75,2.043354511260986,7.537841796875
candidate,r2,loot-crate,20,0.313,0.0,0.2,15.65,18.35,1.0249614715576165,4.289150238037109
candidate,r2,peaceful,20,0.23888888888888887,0.05,0.05,2.4,22.25,0.3780364990234374,1.119375228881836
candidate,r3,classic,20,0.16666666666666666,0.0,0.05,1.5,8.05,1.1159539222717283,6.058931350708008
candidate,r3,coin-heaven,20,0.9029999999999999,0.0,0.1,45.15,0.1,2.8525590896606445,6.279230117797852
candidate,r3,coincollector,20,0.2,0.05,0.15,2.05,10.45,1.8435955047607417,6.525993347167969
candidate,r3,loot-crate,20,0.278,0.0,0.1,13.9,14.6,0.7242202758789061,4.122018814086914
candidate,r3,peaceful,20,0.1388888888888889,0.05,0.05,1.5,5.4,1.1834859848022456,8.00466537475586
candidate,r4,classic,20,0.2833333333333333,0.0,0.1,2.55,11.05,1.900017261505127,5.867958068847656
candidate,r4,coin-heaven,20,0.9029999999999999,0.0,0.1,45.15,0.1,0.849604606628418,1.4548301696777344
candidate,r4,coincollector,20,0.18333333333333332,0.0,0.4,1.65,17.45,1.933372020721435,13.323068618774414
candidate,r4,loot-crate,20,0.192,0.0,0.25,9.6,20.15,0.6049156188964844,5.349159240722656
candidate,r4,peaceful,20,0.26666666666666666,0.15,0.05,3.15,3.0,0.8882761001586911,2.0112991333007812
candidate,r5,classic,20,0.2444444444444444,0.0,0.15,2.2,8.1,0.4739880561828613,0.9858608245849609
candidate,r5,coin-heaven,20,0.9029999999999999,0.0,0.1,45.15,0.1,1.5505313873291013,6.3629150390625
candidate,r5,coincollector,20,0.12777777777777777,0.1,0.5,1.65,8.05,1.7597079277038568,5.845069885253906
candidate,r5,loot-crate,20,0.23199999999999998,0.0,0.0,11.6,9.5,0.9470105171203607,7.004976272583008
candidate,r5,peaceful,20,0.18333333333333332,0.2,0.1,2.65,9.8,1.4289498329162589,9.279966354370117
control,r1,classic,20,0.23333333333333334,0.0,0.0,2.1,2.05,0.5083799362182614,1.2478828430175781
control,r1,coin-heaven,20,1.0,0.0,0.0,50.0,0.1,0.9731769561767576,3.728151321411133
control,r1,coincollector,20,0.3,0.1,0.25,3.2,8.75,2.3642778396606423,8.78000259399414
control,r1,loot-crate,20,0.329,0.0,0.15,16.45,12.55,1.0225892066955562,5.0182342529296875
control,r1,peaceful,20,0.27222222222222225,0.1,0.05,2.95,2.3,1.1988401412963867,5.626201629638672
control,r2,classic,20,0.2611111111111111,0.0,0.05,2.35,4.0,1.1814951896667467,15.590190887451172
control,r2,coin-heaven,20,1.0,0.0,0.0,50.0,0.2,0.9577155113220214,4.270792007446289
control,r2,coincollector,20,0.31666666666666665,0.1,0.35,3.35,11.5,1.3121128082275382,4.103899002075195
control,r2,loot-crate,20,0.26,0.0,0.05,13.0,9.95,0.24008750915527344,1.5859603881835938
control,r2,peaceful,20,0.17777777777777776,0.15,0.0,2.35,3.2,2.0009160041809073,11.909723281860352
control,r3,classic,20,0.2444444444444444,0.0,0.0,2.2,18.85,0.24796724319458008,0.8280277252197266
control,r3,coin-heaven,20,1.0,0.0,0.0,50.0,0.1,0.5837440490722656,3.8042068481445312
control,r3,coincollector,20,0.31666666666666665,0.0,0.25,2.85,7.85,2.031779289245605,7.210731506347656
control,r3,loot-crate,20,0.363,0.0,0.1,18.15,12.3,1.1654973030090319,13.695001602172852
control,r3,peaceful,20,0.2777777777777778,0.3,0.0,4.0,5.6,0.8954644203186031,3.8597583770751953
control,r4,classic,20,0.14444444444444443,0.0,0.0,1.3,0.85,0.7231593132019043,4.989862442016602
control,r4,coin-heaven,20,0.9029999999999999,0.0,0.1,45.15,0.1,0.8131265640258789,2.3779869079589844
control,r4,coincollector,20,0.2333333333333333,0.05,0.1,2.35,6.75,1.7148613929748509,4.848003387451172
control,r4,loot-crate,20,0.209,0.0,0.1,10.45,9.6,1.1241436004638672,5.077123641967773
control,r4,peaceful,20,0.22777777777777777,0.05,0.0,2.3,3.6,1.183164119720458,3.27301025390625
control,r5,classic,20,0.23888888888888887,0.0,0.05,2.15,4.0,0.9006738662719721,5.897998809814453
control,r5,coin-heaven,20,0.9029999999999999,0.0,0.1,45.15,0.1,0.31054019927978516,0.5869865417480469
control,r5,coincollector,20,0.22222222222222224,0.05,0.25,2.25,9.9,1.9682645797729479,6.90007209777832
control,r5,loot-crate,20,0.294,0.0,0.05,14.7,11.9,0.5953550338745113,1.6679763793945312
control,r5,peaceful,20,0.13333333333333333,0.1,0.0,1.7,11.75,0.44809579849243153,3.0798912048339844
