treatment,replica,q_table_size,total_state_visits,mean_visits_per_state,singleton_state_fraction
control,r1,2284,557878,244.25481611208406,0.26751313485113837
control,r2,2206,531862,241.09791477787851,0.2660924750679964
control,r3,2217,533727,240.7428958051421,0.2688317546233649
control,r4,2179,544993,250.11151904543368,0.2574575493345571
control,r5,2245,541977,241.415144766147,0.27527839643652563
candidate,r1,1435,546675,380.9581881533101,0.13797909407665504
candidate,r2,1487,556176,374.02555480833894,0.12172158708809684
candidate,r3,1448,533348,368.33425414364643,0.12845303867403315
candidate,r4,1463,544982,372.5099111414901,0.1291866028708134
candidate,r5,1493,544079,364.41995981245816,0.13261888814467515
