artifact,score,strict_win,collection_fraction,eliminations,survived,self_kills,invalid_actions,attack_opportunities_per_100_steps,mean_opponent_distance
reference,1.85,0.1,0.15,0.1,0.175,0.8,0.55,4.79910052389994,10.47915695050105
aligned-r1,2.275,0.225,0.23888888888888887,0.025,0.325,0.6,1.25,7.71020990272857,8.601792105987764
aligned-r2,2.925,0.3,0.22777777777777777,0.175,0.2,0.7,1.325,8.66433635639737,8.549440695590976
aligned-r3,2.575,0.1,0.23055555555555554,0.1,0.3,0.55,1.2,10.094213523119548,8.556319648655792
aligned-r4,1.525,0.075,0.15555555555555556,0.025,0.175,0.8,0.625,6.138250763961978,9.643428355399688
control-r1,3.075,0.25,0.2583333333333333,0.15,0.45,0.525,1.4,11.76843436411201,8.009846973942523
control-r2,2.625,0.175,0.2361111111111111,0.1,0.2,0.775,0.875,8.276566431580724,8.744977734585566
control-r3,2.5,0.125,0.25,0.05,0.375,0.575,1.125,9.353771737819907,9.034767129338446
control-r4,2.325,0.125,0.21666666666666665,0.075,0.475,0.475,1.225,7.700317528804596,8.949909057474203
weighted-r1,2.625,0.125,0.25,0.075,0.425,0.475,1.25,11.543537335165238,7.6438046937728625
weighted-r2,2.925,0.3,0.22777777777777777,0.175,0.2,0.7,1.325,8.66433635639737,8.549440695590976
weighted-r3,2.575,0.1,0.23055555555555554,0.1,0.3,0.55,1.2,10.094213523119548,8.556319648655792
weighted-r4,1.525,0.075,0.15555555555555556,0.025,0.175,0.8,0.625,6.138250763961978,9.643428355399688
