artifact,score,strict_win,collection_fraction,eliminations,survived,self_kills,invalid_actions,attack_opportunities_per_100_steps,mean_opponent_distance
reference,1.875,0.1,0.16666666666666666,0.075,0.3,0.625,0.85,7.126566069553747,10.29154063353245
control-r1,2.625,0.125,0.2638888888888889,0.05,0.3,0.475,1.075,10.811428255880434,7.871283732791872
control-r2,3.275,0.225,0.26666666666666666,0.175,0.25,0.575,1.025,11.736557996886773,7.678677755070813
control-r3,2.675,0.175,0.21388888888888888,0.15,0.225,0.7,0.775,9.27424625360807,8.681985997458874
control-r4,2.35,0.05,0.26111111111111107,0,0.375,0.5,1.05,13.989074336871381,7.701105419830302
wide-r1,3.125,0.2,0.2638888888888889,0.15,0.325,0.575,1.25,11.017281030591954,8.33432254090259
wide-r2,2.325,0.1,0.175,0.15,0.225,0.725,0.85,7.647882731752166,8.66486746234895
wide-r3,2.675,0.225,0.24166666666666664,0.1,0.525,0.4,1.775,12.492729989281472,8.246962891307025
wide-r4,2.2,0.1,0.20277777777777778,0.075,0.325,0.575,1.075,7.073006315774723,9.465319096944516
widest-r1,2.75,0.175,0.2638888888888889,0.075,0.5,0.375,1.325,10.563363423168028,8.225076419087047
widest-r2,2.525,0.15,0.23888888888888887,0.075,0.3,0.625,0.9,9.298719596817245,8.901731356949806
widest-r3,3,0.225,0.25,0.15,0.35,0.525,1.5,12.173943628318838,7.953266555113186
widest-r4,2.625,0.15,0.2638888888888889,0.05,0.575,0.3,1.35,11.66820660453055,8.258849525744754
