treatment,replica,scenario,world_seed,agent_seed,collection_fraction,opponents_eliminated,self_kills,score,invalid_actions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match
control,r1,peaceful,210101,310101,0.3333333333333333,0,0,3,11,0.6449699401855469,1.1048316955566406,28feabc85f0f4bc293c28c26cd5d00a9487fc0c9c3e29523ff251d326c63b2b9,True
control,r1,peaceful,210102,310102,0.0,0,0,0,0,0.5732417106628417,1.4429092407226562,265119014efa62ca6984a1f49e4cd6893feb465cc7abf3f8663367ff04f27bb2,True
control,r1,peaceful,210103,310103,0.2222222222222222,0,0,2,11,0.7284283638000486,1.3267993927001953,0280a6ffdcaded3341ce3d01500a51e8999619b0d12112c1abc52a6272008861,True
control,r1,peaceful,210104,310104,0.0,0,0,0,42,0.8742570877075186,3.5250186920166016,30b1b39ccd00f67dd2c154d72e7b2b48089d7293b9a5488380c594302644ad2d,True
control,r1,peaceful,210105,310105,0.3333333333333333,0,1,3,6,0.9172439575195309,1.870870590209961,956827e869effe697e0556013260aa46806f39e04ec4c12129233e4b16aacb05,True
control,r1,peaceful,210106,310106,0.0,0,0,0,0,0.5441188812255859,1.6541481018066406,0bec663e255f531f6d5bc46fb1f6092c9b20111694c19f178708f70464497223,True
control,r1,peaceful,210107,310107,0.0,0,0,0,77,0.6759881973266598,1.3611316680908203,e373cedcd1bea27dd4e4b7a1d2c57f339f2b65a2dc03e9db29191d1d36e4f0cb,True
control,r1,peaceful,210108,310108,0.4444444444444444,0,1,4,9,0.8583307266235347,2.179861068725586,d9efc3060ab33acbdad2038e8bc13963ac393e82347349d59d911e9aed6f0776,True
control,r1,peaceful,210109,310109,0.6666666666666666,1,0,11,5,0.5570530891418456,1.4052391052246094,71e0644cc06c8178034aca3bbb4611055ae507654981e98b4b2edb00e364c7af,True
control,r1,peaceful,210110,310110,0.3333333333333333,0,0,3,45,1.1262536048889158,2.8662681579589844,986e9deeaaa1774bf1f4feb3cf159b027cba7b926772430fbe9fa5e801d72aa8,True
control,r1,peaceful,210111,310111,0.2222222222222222,0,0,2,40,0.6819844245910643,1.3339519500732422,d0c1d4d08ab8310825d8997e2ee82c34938198cb9dd3abf3d060479b1d5f7904,True
control,r1,peaceful,210112,310112,0.0,0,0,0,0,0.5433201789855955,1.6770362854003906,c2a73f09c4a90b6ee540b4636811cf31a04f0845b49de6b4aeea318b5d403910,True
control,r1,peaceful,210113,310113,0.0,0,1,0,0,1.0298252105712877,1.8050670623779297,2bcaabad314e3c47b86e16f1b4f87102b54565025f49eafe94a70650cc4a7418,True
control,r1,peaceful,210114,310114,0.5555555555555556,1,0,10,6,0.9397745132446284,2.274036407470703,7d3212ca931b32a2a59fac96405503a4e26db22b83d79f8c2b1eea4d4c988534,False
control,r1,peaceful,210115,310115,0.3333333333333333,0,0,3,50,1.088321208953857,1.9078254699707031,35d520e1e53754c44d55ea22a6c64402a9b81fbad52686c737c5df0136f22977,True
control,r1,peaceful,210116,310116,0.4444444444444444,0,0,4,51,1.0831236839294416,2.621889114379883,5ccdfc9c25a0e18e3e471c5e4e1d6df00be6813bdaba4ced156a8d1bdd151095,True
control,r1,peaceful,210117,310117,0.3333333333333333,0,0,3,22,1.647365093231198,3.872394561767578,5927b12c842df3ff69cc587cb7025bace2c2dad8bd9323771b2f8dd919c2b6ea,True
control,r1,peaceful,210118,310118,0.7777777777777778,1,0,12,6,1.5391469001770017,6.574869155883789,d367b7075aa8e719edf0869b6f86a889878d778fe6acb6baf92d0085ecb90183,False
control,r1,peaceful,210119,310119,0.2222222222222222,0,0,2,1,1.0211825370788565,2.904176712036133,c4addb90a78d77fe36062349b9efab70f5b0ee15fca3bdc6a7ae237365f787cc,True
control,r1,peaceful,210120,310120,0.3333333333333333,0,0,3,7,1.2753248214721675,3.403186798095703,9d56764e416511869a2a1cbc8bfdee34e84d297c3a650c83a8c001cecc33d761,True
control,r1,coincollector,210201,310201,0.2222222222222222,0,1,2,1,1.293838024139404,1.7809867858886719,17e2d3902cd5f4625cb2c5b42247d4d7d8858a6a79ce49f94307b489b47b4405,False
control,r1,coincollector,210202,310202,0.1111111111111111,0,1,1,2,1.5537738800048826,5.899906158447266,5d7aacca5903309b3caca8d8a437a365b5e864a0eceab18424bea951b409c91f,False
control,r1,coincollector,210203,310203,0.2222222222222222,0,1,2,2,1.6635656356811523,2.213001251220703,6e51e96f3c8d9967de2dfc40bc190862fe8037ff5fd94c4634c5eec995e8cd30,False
control,r1,coincollector,210204,310204,0.2222222222222222,0,0,2,23,1.0350227355957022,2.0732879638671875,6d745267810dca459052e6bce4c7a55dd7c0051cd0d06cfcb2786aea7bef73c0,False
control,r1,coincollector,210205,310205,0.1111111111111111,0,0,1,0,1.1348962783813463,2.209901809692383,e58de0af748d8cfea3e923b9beaaa0429c45f39a094fd4f629fb7a88e642986e,False
control,r1,coincollector,210206,310206,0.0,0,1,0,3,0.6505370140075681,0.9050369262695312,c225acf2aae2d0844d052f15cb238f4902442a2b2801007de40424a7a8460931,False
control,r1,coincollector,210207,310207,0.2222222222222222,0,1,2,7,1.219034194946289,4.324197769165039,0e8b9f503f3e292fb6fb056a776d1191f1e02b12121a0ed7583e7ee22d5efa19,False
control,r1,coincollector,210208,310208,0.2222222222222222,0,0,2,12,1.2928247451782224,4.6520233154296875,8e450a6db7b1c0fe839fe2bb0a00f50785d6ea21fa508ca7a8320468c9c2fda4,False
control,r1,coincollector,210209,310209,0.3333333333333333,0,0,3,7,1.9018411636352532,5.501747131347656,b165088ca93a05bc2606fe457e878d1d0d0a00bb728cfa101905f8a312029d30,False
control,r1,coincollector,210210,310210,0.0,0,1,0,5,1.18117332458496,1.7118453979492188,3b76c07bd25e7fec2e8a396fc68cf458200b089eec9af1f9103e46d858ef0e5d,False
control,r1,coincollector,210211,310211,0.6666666666666666,0,0,6,10,1.5858411788940425,3.2150745391845703,0d2dd6420ff161c44e53c024c2f0d1dc835f3044691fbce0a6258a2dbc3c3dce,False
control,r1,coincollector,210212,310212,0.1111111111111111,0,1,1,3,0.8460640907287597,1.1913776397705078,93d161d06713eb030d5e3c6ab6f4d65f1a804ab579812eff28a1eb4f7b3fe0f9,False
control,r1,coincollector,210213,310213,0.1111111111111111,0,0,1,14,1.0743737220764158,2.2139549255371094,82d7d79135edd94de65cb83cd1888117beec0600ecebaaec6794dd7a5f40d74f,False
control,r1,coincollector,210214,310214,0.1111111111111111,0,1,1,2,0.5599856376647949,1.2667179107666016,74f1b2f810da3f4a64a0d52fef677080f272b9296fbbfbb5389420cc2104ab94,False
control,r1,coincollector,210215,310215,0.3333333333333333,0,1,3,4,0.3426074981689453,0.5819797515869141,b6bf43531ee1cd2a2a104202376cdbb507091a8b2160a341ac537d8761f9f885,False
