treatment,replica,scenario,episodes,mean_collection_fraction,mean_opponents_eliminated,self_kill_rate,mean_score,invalid_action_rate,decision_time_p95_ms,decision_time_max_ms
candidate,r1,classic,20,0.0,0.0,0.0,0.0,0.05,0.5800366401672353,5.970001220703125
candidate,r1,coin-heaven,20,0.7070000000000001,0.0,0.3,35.35,0.55,0.8871078491210936,1.4948844909667969
candidate,r1,coincollector,20,0.0611111111111111,0.0,0.7,0.55,24.8,0.9100675582885724,4.84776496887207
candidate,r1,loot-crate,20,0.005,0.0,0.0,0.25,0.1,0.694286823272704,3.226041793823242
candidate,r1,peaceful,20,0.09444444444444444,0.0,0.0,0.85,4.15,1.3072013854980458,3.2198429107666016
candidate,r2,classic,20,0.04444444444444444,0.0,0.25,0.4,6.95,1.4906883239746094,5.540132522583008
candidate,r2,coin-heaven,20,0.9019999999999999,0.0,0.1,45.1,0.25,0.7074475288391112,3.2911300659179688
candidate,r2,coincollector,20,0.06666666666666667,0.0,0.85,0.6,14.0,1.259851455688474,7.16710090637207
candidate,r2,loot-crate,20,0.025,0.0,0.25,1.25,6.35,0.18043518066406256,0.3917217254638672
candidate,r2,peaceful,20,0.17777777777777776,0.15,0.3,2.35,15.8,0.3213286399841307,1.4891624450683594
candidate,r3,classic,20,0.01111111111111111,0.0,0.0,0.1,2.9,0.7623434066772458,3.968954086303711
candidate,r3,coin-heaven,20,0.9039999999999999,0.0,0.1,45.2,0.3,0.2550125122070312,0.3161430358886719
candidate,r3,coincollector,20,0.05555555555555556,0.05,0.7,0.75,8.0,1.105260848999023,3.0231475830078125
candidate,r3,loot-crate,20,0.013999999999999999,0.0,0.05,0.7,20.15,0.42186975479125965,3.787994384765625
candidate,r3,peaceful,20,0.18888888888888888,0.1,0.0,2.2,12.4,0.6539702415466306,1.1789798736572266
candidate,r4,classic,20,0.01111111111111111,0.0,0.1,0.1,24.0,0.328683853149414,1.028299331665039
candidate,r4,coin-heaven,20,0.952,0.0,0.05,47.6,0.1,0.9004712104797362,1.6798973083496094
candidate,r4,coincollector,20,0.1,0.0,0.6,0.9,35.65,1.742160320281982,7.14111328125
candidate,r4,loot-crate,20,0.007000000000000001,0.0,0.05,0.35,39.0,0.8392453193664549,6.672859191894531
candidate,r4,peaceful,20,0.11666666666666665,0.05,0.05,1.3,3.7,0.9108066558837888,6.572961807250977
candidate,r5,classic,20,0.005555555555555555,0.0,0.05,0.05,81.95,0.86212158203125,3.3197402954101562
candidate,r5,coin-heaven,20,0.9029999999999999,0.0,0.1,45.15,0.5,1.2186050415039062,1.2600421905517578
candidate,r5,coincollector,20,0.08333333333333333,0.05,0.7,1.0,13.8,0.8323788642883301,1.4150142669677734
candidate,r5,loot-crate,20,0.009,0.0,0.05,0.45,95.75,0.5242705345153804,6.405115127563477
candidate,r5,peaceful,20,0.15555555555555556,0.0,0.0,1.4,10.45,1.0213971138000486,5.623817443847656
control,r1,classic,20,0.17777777777777776,0.0,0.05,1.6,6.75,0.6365776062011719,4.003047943115234
control,r1,coin-heaven,20,0.905,0.0,0.1,45.25,0.1,1.5580415725708,5.5141448974609375
control,r1,coincollector,20,0.22777777777777777,0.0,0.45,2.05,6.7,1.9018411636352532,5.899906158447266
control,r1,loot-crate,20,0.28900000000000003,0.0,0.1,14.45,10.75,1.0159969329833975,7.275819778442383
control,r1,peaceful,20,0.2777777777777778,0.15,0.15,3.25,19.45,1.647365093231198,6.574869155883789
control,r2,classic,20,0.2777777777777778,0.0,0.0,2.5,3.45,0.3472805023193358,0.8020401000976562
control,r2,coin-heaven,20,1.0,0.0,0.0,50.0,0.1,0.8783340454101559,3.017902374267578
control,r2,coincollector,20,0.20555555555555555,0.05,0.35,2.1,7.4,2.0130515098571764,8.770942687988281
control,r2,loot-crate,20,0.23000000000000004,0.0,0.05,11.5,8.8,1.478600502014158,5.31315803527832
control,r2,peaceful,20,0.2833333333333333,0.15,0.0,3.3,7.8,0.8070468902587891,1.6889572143554688
control,r3,classic,20,0.22777777777777777,0.0,0.0,2.05,2.1,1.5681147575378362,12.401819229125977
control,r3,coin-heaven,20,0.905,0.0,0.1,45.25,0.1,0.32367706298828125,0.9930133819580078
control,r3,coincollector,20,0.18333333333333332,0.1,0.2,2.15,5.7,1.4542341232299794,10.064840316772461
control,r3,loot-crate,20,0.29,0.0,0.1,14.5,5.0,0.5361199378967284,2.008676528930664
control,r3,peaceful,20,0.39444444444444443,0.05,0.0,3.8,2.85,1.6259193420410147,4.42194938659668
control,r4,classic,20,0.07777777777777777,0.0,0.0,0.7,1.8,1.168084144592285,9.37509536743164
control,r4,coin-heaven,20,0.905,0.0,0.1,45.25,0.1,1.5897274017333982,4.500150680541992
control,r4,coincollector,20,0.2444444444444444,0.2,0.15,3.2,7.85,2.105641365051269,10.503053665161133
control,r4,loot-crate,20,0.162,0.0,0.0,8.1,4.35,1.4991283416748045,13.525009155273438
control,r4,peaceful,20,0.09444444444444444,0.05,0.1,1.1,7.4,1.3924121856689404,9.0179443359375
control,r5,classic,20,0.15555555555555556,0.0,0.0,1.4,3.7,1.6872525215148924,8.381843566894531
control,r5,coin-heaven,20,0.905,0.0,0.1,45.25,0.1,0.4092693328857423,2.1219253540039062
control,r5,coincollector,20,0.11666666666666665,0.0,0.3,1.05,6.5,1.3151764869689941,2.979755401611328
control,r5,loot-crate,20,0.189,0.0,0.2,9.45,6.5,0.38100481033325173,0.9958744049072266
control,r5,peaceful,20,0.17222222222222222,0.0,0.0,1.55,13.45,1.3774991035461412,9.443044662475586
