treatment,replica,q_table_size,total_state_visits,mean_visits_per_state,singleton_state_fraction
control,r1,2220,549854,247.68198198198198,0.25045045045045045
control,r2,2220,540883,243.64099099099099,0.26036036036036037
control,r3,2269,552747,243.60819744380785,0.24636403702071397
control,r4,2127,550287,258.7150916784203,0.2562294311236483
control,r5,2111,534760,253.32070108953104,0.23780198957839888
candidate,r1,2025,1324043,653.8483950617284,0.23308641975308642
candidate,r2,2025,1322945,653.3061728395062,0.2162962962962963
candidate,r3,1990,1317012,661.8150753768845,0.20854271356783918
candidate,r4,1873,1330502,710.3587827015483,0.20822210357714896
candidate,r5,1943,1329907,684.4606278950077,0.1935151827071539
