treatment,replica,scenario,world_seed,agent_seed,collection_fraction,opponents_eliminated,self_kills,score,invalid_actions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match
control,r1,peaceful,220101,320101,0.1111111111111111,0,0,1,0,0.30903816223144526,0.4782676696777344,02ca247f85fda871193ce93b1835256edd6c304fd742e51fa9a7e4bcd4995fc2,True
control,r1,peaceful,220102,320102,0.6666666666666666,0,0,6,5,0.5958676338195801,0.7188320159912109,2f1c753b50ed7fed081ecd36e205807e87736174f76618d50d28054096786550,True
control,r1,peaceful,220103,320103,0.0,0,0,0,0,0.3040909767150878,0.44083595275878906,1ea12fde1c3b2b4909b112828ead783ae6b353167d2fc4190ebf7d49840fb398,True
control,r1,peaceful,220104,320104,0.6666666666666666,0,0,6,37,0.4171013832092284,0.5869865417480469,1aabcd836eb6a5397966df6c599efd17ccedb2cfcf46af69e7c5966bb7d9b63f,True
control,r1,peaceful,220105,320105,0.3333333333333333,0,0,3,2,0.39128065109252924,0.492095947265625,9a4f4de8ab6aa0eb0eca639603c50569972ad3573aa2290429da99ed8d4e8356,True
control,r1,peaceful,220106,320106,0.3333333333333333,0,0,3,3,0.6574988365173339,0.7617473602294922,b18f184ca95d9acdf5b063aaeeeef0a3da597927c4aeac79efeb79932165f889,True
control,r1,peaceful,220107,320107,0.3333333333333333,0,0,3,14,0.4423141479492187,0.5717277526855469,4d7760375ffea6e8513b353af7bb4ebb1bcbf20b7c71ccc0d2db74f2bce1f3b0,False
control,r1,peaceful,220108,320108,0.4444444444444444,0,0,4,2,0.5450248718261719,0.9200572967529297,27e31f4c086d3b119b6ea9f0f9d0292777f7459e7e6b54b9bf3639bfb081d087,True
control,r1,peaceful,220109,320109,0.3333333333333333,0,0,3,6,0.48090219497680664,0.7238388061523438,641df666ac559387f44fcd4a31482330314b53831db73779091229df9f624f7f,True
control,r1,peaceful,220110,320110,0.2222222222222222,0,0,2,1,0.2949357032775879,0.55694580078125,6e3a533fb7a16409eb8a1e3dda2a2e7dbac2ce4faf65b7b784b1578743ccc0d8,True
control,r1,peaceful,220111,320111,0.0,0,0,0,0,0.28897523880004883,0.5199909210205078,69b9cb66b6c89876bf693f44ada900c8ca4fb48965996663f90aecedd56bb521,True
control,r1,peaceful,220112,320112,0.0,0,0,0,1,0.32806396484375,0.4639625549316406,8ede0fd87b77ef39da81726604943dc31c12b4e7644ebfc63d79cf82f9032b72,True
control,r1,peaceful,220113,320113,0.0,0,0,0,0,0.2730846405029296,0.4291534423828125,8aaa9cd96397e783a11ea355138a2b0c1b40cfdbdeaac9907589c054324be088,True
control,r1,peaceful,220114,320114,0.0,0,0,0,5,0.4878044128417969,0.6220340728759766,a09d03de6bb7121e44c82bc747d6713b611cfcf9ac42fce17342f74ed7462458,True
control,r1,peaceful,220115,320115,0.8888888888888888,0,0,8,3,0.7480263710021972,1.0139942169189453,ab7014933cf27fe91689312b4f8c5745ca38f8ecfaaf2467326d4a5555f69362,True
control,r1,peaceful,220116,320116,0.7777777777777778,0,0,7,3,0.9354233741760251,1.5521049499511719,08803702c62d9653982ba2703c3c0db70a7a11e8a20a0868ed9af03f114b3a02,True
control,r1,peaceful,220117,320117,0.5555555555555556,0,0,5,9,0.7623553276062011,1.1930465698242188,a2dd22acb9a8eabab451a09b7b1c029414185412a0396a792b738ee95a8226ec,True
control,r1,peaceful,220118,320118,0.0,0,0,0,0,0.3968358039855956,0.6608963012695312,f85571cf334815f3d0361d53e30025f86a28616b2b205a54fde8f29617f95269,True
control,r1,peaceful,220119,320119,0.4444444444444444,0,0,4,0,0.7256150245666501,0.9517669677734375,cdfb48000edb2a76890f76d5c027f6da55ceccfbb8d4686a2355536e2bed7d55,True
