treatment,replica,scenario,episodes,mean_collection_fraction,mean_opponents_eliminated,self_kill_rate,mean_score,invalid_action_rate,decision_time_p95_ms,decision_time_max_ms
candidate,r1,classic,20,0.18333333333333332,0.0,0.25,1.65,3.85,0.5870938301086425,1.6570091247558594
candidate,r1,coin-heaven,20,1.0,0.0,0.0,50.0,0.0,0.27575492858886713,0.37097930908203125
candidate,r1,coincollector,20,0.11111111111111112,0.0,1.0,1.0,5.55,0.5912303924560546,0.8649826049804688
candidate,r1,loot-crate,20,0.14500000000000002,0.0,0.4,7.25,7.7,0.6724953651428219,1.4488697052001953
candidate,r1,peaceful,20,0.09444444444444444,0.05,0.1,1.1,0.9,3.3048033714294425,43.29681396484375
candidate,r2,classic,20,0.17222222222222222,0.0,0.1,1.55,3.9,0.5262970924377438,1.2450218200683594
candidate,r2,coin-heaven,20,1.0,0.0,0.0,50.0,0.0,0.3237724304199219,0.4611015319824219
candidate,r2,coincollector,20,0.1,0.05,0.95,1.15,3.55,0.6232738494873047,0.7848739624023438
candidate,r2,loot-crate,20,0.138,0.0,0.35,6.9,1.9,0.5148768424987785,1.5110969543457031
candidate,r2,peaceful,20,0.03333333333333333,0.05,0.05,0.55,3.95,1.1320710182189941,3.9877891540527344
candidate,r3,classic,20,0.11666666666666665,0.0,0.0,1.05,5.5,0.2938389778137206,1.1138916015625
candidate,r3,coin-heaven,20,1.0,0.0,0.0,50.0,0.0,0.45990943908691395,0.7250308990478516
candidate,r3,coincollector,20,0.0611111111111111,0.05,0.9,0.8,4.3,0.7490992546081534,2.2618770599365234
candidate,r3,loot-crate,20,0.10200000000000001,0.0,0.25,5.1,7.75,0.8222699165344236,3.565073013305664
candidate,r3,peaceful,20,0.07777777777777777,0.0,0.05,0.7,4.5,1.239669322967528,2.2361278533935547
candidate,r4,classic,20,0.13333333333333333,0.0,0.0,1.2,1.3,0.24546384811401312,0.5738735198974609
candidate,r4,coin-heaven,20,1.0,0.0,0.0,50.0,0.0,0.4218101501464843,0.6506443023681641
candidate,r4,coincollector,20,0.07777777777777777,0.0,0.95,0.7,3.85,0.9849071502685547,2.2211074829101562
candidate,r4,loot-crate,20,0.084,0.0,0.2,4.2,2.5,0.9021759033203125,7.714033126831055
candidate,r4,peaceful,20,0.13333333333333333,0.1,0.0,1.7,14.2,1.078987121582031,3.7958621978759766
candidate,r5,classic,20,0.08888888888888888,0.0,0.0,0.8,12.95,0.34689903259277344,0.51116943359375
candidate,r5,coin-heaven,20,1.0,0.0,0.0,50.0,0.0,0.5259394645690918,0.7979869842529297
candidate,r5,coincollector,20,0.1222222222222222,0.0,0.9,1.1,6.7,1.4949440956115723,8.935213088989258
candidate,r5,loot-crate,20,0.064,0.0,0.25,3.2,12.65,1.3266086578369143,6.362199783325195
candidate,r5,peaceful,20,0.17222222222222222,0.05,0.05,1.8,2.65,0.3697991371154785,0.6940364837646484
control,r1,classic,20,0.2,0.0,0.0,1.8,1.5,0.5587220191955561,2.485990524291992
control,r1,coin-heaven,20,1.0,0.0,0.0,50.0,0.0,1.9625425338745117,4.667758941650391
control,r1,coincollector,20,0.2611111111111111,0.05,0.25,2.6,4.6,2.3190975189208967,20.792245864868164
control,r1,loot-crate,20,0.33599999999999997,0.0,0.1,16.8,9.2,0.47807693481445307,0.7510185241699219
control,r1,peaceful,20,0.32222222222222224,0.0,0.0,2.9,4.6,0.9354233741760251,1.5521049499511719
control,r2,classic,20,0.15555555555555556,0.0,0.0,1.4,9.0,0.8113145828247066,4.541873931884766
control,r2,coin-heaven,20,1.0,0.0,0.0,50.0,0.0,0.507521629333496,1.857757568359375
control,r2,coincollector,20,0.3111111111111111,0.0,0.2,2.8,9.85,1.609241962432861,3.206968307495117
control,r2,loot-crate,20,0.238,0.0,0.1,11.9,10.05,0.486147403717041,0.8211135864257812
control,r2,peaceful,20,0.3,0.15,0.0,3.45,9.2,1.0710716247558594,2.2950172424316406
control,r3,classic,20,0.2611111111111111,0.0,0.05,2.35,4.15,1.4781713485717765,8.857011795043945
control,r3,coin-heaven,20,1.0,0.0,0.0,50.0,0.0,0.556659698486328,1.3480186462402344
control,r3,coincollector,20,0.25555555555555554,0.05,0.25,2.55,6.65,1.6222238540649412,2.608060836791992
control,r3,loot-crate,20,0.32,0.0,0.05,16.0,7.55,0.7935523986816398,1.6949176788330078
control,r3,peaceful,20,0.1611111111111111,0.0,0.0,1.45,5.7,1.5119075775146467,8.246183395385742
control,r4,classic,20,0.2777777777777778,0.0,0.05,2.5,7.25,0.516557693481445,241907.08899497986
control,r4,coin-heaven,20,1.0,0.0,0.0,50.0,0.0,0.3210306167602539,1.631021499633789
control,r4,coincollector,20,0.32222222222222224,0.0,0.2,2.9,7.2,1.9227981567382804,18.507003784179688
control,r4,loot-crate,20,0.29500000000000004,0.0,0.15,14.75,14.8,0.7201433181762692,2.2840499877929688
control,r4,peaceful,20,0.25,0.1,0.15,2.75,16.95,2.1360397338867188,13.76199722290039
control,r5,classic,20,0.22222222222222224,0.0,0.05,2.0,4.0,0.6062269210815426,3.3180713653564453
control,r5,coin-heaven,20,1.0,0.0,0.0,50.0,0.0,0.2516269683837889,0.6361007690429688
control,r5,coincollector,20,0.3055555555555555,0.15,0.35,3.5,7.05,0.7634639739990228,1.4190673828125
control,r5,loot-crate,20,0.259,0.0,0.1,12.95,10.85,0.5468010902404784,1.4541149139404297
control,r5,peaceful,20,0.25555555555555554,0.15,0.1,3.05,6.3,1.294255256652831,3.481149673461914
