treatment,replica,q_table_size,total_state_visits,mean_visits_per_state,singleton_state_fraction
control,r1,2272,531659,234.00484154929578,0.2654049295774648
control,r2,2341,541118,231.14822725331055,0.28022212729602736
control,r3,2257,529743,234.7111209570226,0.26894107221976077
control,r4,2175,532589,244.86850574712645,0.25517241379310346
control,r5,2316,552616,238.60794473229706,0.26252158894645944
candidate,r1,1513,781498,516.522141440846,0.1784534038334435
candidate,r2,1606,718702,447.51058530510585,0.18306351183063513
candidate,r3,1891,749244,396.21575885774723,0.19672131147540983
candidate,r4,1484,693663,467.427897574124,0.19070080862533692
candidate,r5,1515,708102,467.3940594059406,0.17293729372937294
