treatment,replica,scenario,world_seed,agent_seed,collection_fraction,opponents_eliminated,self_kills,score,invalid_actions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match
control,r1,peaceful,224101,324101,0.5555555555555556,0,0,5,2,0.437366962432861,0.8528232574462891,8b5a81c52102737406c13206cf600d24aed6e66ae15109714431b85b9daefcee,True
control,r1,peaceful,224102,324102,0.1111111111111111,0,0,1,1,0.17882585525512695,0.44798851013183594,56235fc8f54ff44ae25170b1fc8cee76a5be086e0979be84b1ca90e55f8f75a0,True
control,r1,peaceful,224103,324103,0.4444444444444444,0,0,4,4,0.3729462623596191,0.7991790771484375,923712627edf6db2f61f2fa54cf93a41e01363bc505b76d28bbfa7a8ec17dc8c,True
control,r1,peaceful,224104,324104,0.5555555555555556,0,0,5,7,0.26035308837890603,0.42700767517089844,bd72ad6ee21afb1cf55225da403fe809c360a44a90ba2ac157aa1e5baeab6e7d,True
control,r1,peaceful,224105,324105,0.1111111111111111,0,0,1,4,0.247049331665039,0.30493736267089844,ec621d5d289d61bee2405924c6914ad19e4faf0ec91fb48ee50ab7fd81fa0a3a,True
control,r1,peaceful,224106,324106,0.2222222222222222,0,0,2,1,0.25190114974975575,0.396728515625,8bc2708c377b8e3940fa3efb84fa440bd64b2950e34d48752317624a1205b5aa,True
control,r1,peaceful,224107,324107,0.3333333333333333,0,0,3,2,0.3850936889648437,0.9338855743408203,f4dbe91d126dfcd1a144cc828e0c6cfc735714b0be409d9f66de04ffc2f7f63d,True
control,r1,peaceful,224108,324108,0.6666666666666666,1,0,11,6,0.22912025451660156,0.5497932434082031,d362ef0e69112ae898c9468bb14226369a190780c057fbb785ecf28a33ef45cd,False
control,r1,peaceful,224109,324109,0.5555555555555556,1,0,10,12,0.29908418655395497,0.6918907165527344,7f4353676c3d42a5cb6d741fd79d5bb0b67090920348f4916da224ca77cf8444,False
control,r1,peaceful,224110,324110,0.2222222222222222,1,0,7,2,0.16217231750488276,0.4100799560546875,c3a3ef67f4e8b0381928916604fb19c4a2479b76e7fda3651c10623b05760d39,False
