treatment,replica,scenario,episodes,mean_collection_fraction,mean_opponents_eliminated,self_kill_rate,mean_score,invalid_action_rate,decision_time_p95_ms,decision_time_max_ms
candidate,r1,classic,20,0.18888888888888888,0.0,0.0,1.7,2.35,0.8363366127014158,8.66389274597168
candidate,r1,coin-heaven,20,1.0,0.0,0.0,50.0,0.0,0.9008884429931617,5.645990371704102
candidate,r1,coincollector,20,0.19444444444444445,0.0,0.25,1.75,11.45,1.0550975799560538,1.4889240264892578
candidate,r1,loot-crate,20,0.286,0.0,0.0,14.3,12.25,0.9251117706298828,5.548954010009766
candidate,r1,peaceful,20,0.3111111111111111,0.2,0.05,3.8,8.1,2.5942325592041002,27.61220932006836
candidate,r2,classic,20,0.17777777777777776,0.0,0.0,1.6,3.0,0.9790420532226561,6.268978118896484
candidate,r2,coin-heaven,20,1.0,0.0,0.0,50.0,0.0,1.0150909423828116,2.613067626953125
candidate,r2,coincollector,20,0.22222222222222224,0.0,0.3,2.0,9.1,0.9259700775146322,3.0341148376464844
candidate,r2,loot-crate,20,0.269,0.0,0.1,13.45,10.35,1.0524988174438472,11.455059051513672
candidate,r2,peaceful,20,0.27222222222222225,0.15,0.0,3.2,9.55,1.8280625343322754,6.535053253173828
candidate,r3,classic,20,0.22222222222222224,0.0,0.1,2.0,15.5,1.1477828025817864,9.317874908447266
candidate,r3,coin-heaven,20,1.0,0.0,0.0,50.0,0.0,0.27509927749633784,0.6151199340820312
candidate,r3,coincollector,20,0.25555555555555554,0.0,0.3,2.3,13.15,1.68514251708984,8.972883224487305
candidate,r3,loot-crate,20,0.273,0.0,0.05,13.65,12.4,0.8240222930908203,2.565145492553711
candidate,r3,peaceful,20,0.2333333333333333,0.1,0.05,2.6,26.4,0.4412055015563955,1.4450550079345703
candidate,r4,classic,20,0.18333333333333332,0.0,0.05,1.65,9.5,0.25157928466796853,1.5349388122558594
candidate,r4,coin-heaven,20,1.0,0.0,0.0,50.0,0.0,0.5888819694519033,1.3780593872070312
candidate,r4,coincollector,20,0.21666666666666665,0.05,0.3,2.2,7.4,1.8329739570617654,8.014678955078125
candidate,r4,loot-crate,20,0.30500000000000005,0.0,0.15,15.25,13.5,1.0755777359008785,9.886026382446289
candidate,r4,peaceful,20,0.16666666666666669,0.1,0.0,2.0,11.7,1.3814568519592263,21.975994110107422
candidate,r5,classic,20,0.17222222222222222,0.0,0.1,1.55,8.8,0.9681820869445799,3.4630298614501953
candidate,r5,coin-heaven,20,1.0,0.0,0.0,50.0,0.0,0.704646110534668,16.901016235351562
candidate,r5,coincollector,20,0.23888888888888887,0.05,0.25,2.4,10.15,0.6490826606750487,1.33514404296875
candidate,r5,loot-crate,20,0.258,0.0,0.15,12.9,16.55,1.043033599853515,4.761219024658203
candidate,r5,peaceful,20,0.2111111111111111,0.1,0.15,2.4,17.3,1.2997865676879865,8.028745651245117
control,r1,classic,20,0.16666666666666666,0.0,0.0,1.5,4.7,0.8111238479614231,4.451990127563477
control,r1,coin-heaven,20,1.0,0.0,0.0,50.0,0.0,0.30770301818847656,0.6451606750488281
control,r1,coincollector,20,0.26666666666666666,0.0,0.35,2.4,11.4,1.8618345260620088,7.7991485595703125
control,r1,loot-crate,20,0.22000000000000003,0.0,0.1,11.0,4.6,0.4710793495178212,2.6450157165527344
control,r1,peaceful,20,0.3555555555555555,0.2,0.05,4.2,7.9,0.5427956581115723,2.201080322265625
control,r2,classic,20,0.21666666666666665,0.0,0.05,1.95,3.85,0.21419525146484367,0.8308887481689453
control,r2,coin-heaven,20,1.0,0.0,0.0,50.0,0.0,0.5614519119262694,3.6170482635498047
control,r2,coincollector,20,0.2944444444444444,0.0,0.2,2.65,11.75,1.5408992767333984,9.519815444946289
control,r2,loot-crate,20,0.195,0.0,0.05,9.75,8.2,1.0311603546142565,6.653070449829102
control,r2,peaceful,20,0.2944444444444444,0.15,0.1,3.4,12.7,1.2758374214172359,8.224010467529297
control,r3,classic,20,0.2,0.0,0.0,1.8,1.75,0.8473753929138168,3.5791397094726562
control,r3,coin-heaven,20,1.0,0.0,0.0,50.0,0.0,1.352691650390623,7.1468353271484375
control,r3,coincollector,20,0.2333333333333333,0.0,0.35,2.1,6.45,1.9305348396301238,6.8111419677734375
control,r3,loot-crate,20,0.314,0.0,0.0,15.7,14.75,1.1090874671936033,8.704662322998047
control,r3,peaceful,20,0.2333333333333333,0.25,0.0,3.35,5.95,1.3178586959838843,7.230281829833984
control,r4,classic,20,0.1222222222222222,0.0,0.0,1.1,8.7,1.0909438133239737,7.233142852783203
control,r4,coin-heaven,20,1.0,0.0,0.0,50.0,0.0,0.6835460662841797,2.4399757385253906
control,r4,coincollector,20,0.15,0.0,0.5,1.35,4.7,1.242434978485107,8.124113082885742
control,r4,loot-crate,20,0.26,0.0,0.1,13.0,11.6,0.4369854927062978,3.131866455078125
control,r4,peaceful,20,0.1388888888888889,0.05,0.0,1.5,4.85,1.0818839073181135,8.146286010742188
control,r5,classic,20,0.14444444444444443,0.0,0.05,1.3,1.0,0.6932020187377926,2.704143524169922
control,r5,coin-heaven,20,1.0,0.0,0.0,50.0,0.0,0.28896331787109375,0.4940032958984375
control,r5,coincollector,20,0.16666666666666666,0.0,0.4,1.5,6.4,1.7144441604614253,10.255098342895508
control,r5,loot-crate,20,0.127,0.0,0.15,6.35,8.85,0.8531689643859862,2.6569366455078125
control,r5,peaceful,20,0.17777777777777776,0.1,0.0,2.1,14.3,0.7888317108154289,3.582000732421875
