treatment,replica,q_table_size,total_state_visits,mean_visits_per_state,singleton_state_fraction
control,r1,2286,540509,236.44313210848645,0.25196850393700787
control,r2,2317,535681,231.1959430297799,0.2736296935692706
control,r3,2173,524321,241.28900138057983,0.26184997699033596
control,r4,2230,536666,240.657399103139,0.26905829596412556
control,r5,2314,547711,236.69446845289542,0.26490924805531546
candidate,r1,2192,554958,253.1742700729927,0.24133211678832117
candidate,r2,2166,548603,253.2793167128347,0.26361957525392427
candidate,r3,2260,547529,242.26946902654868,0.2517699115044248
candidate,r4,2198,552698,251.45495905368517,0.27206551410373064
candidate,r5,2350,545308,232.0459574468085,0.28127659574468084
