replica,scenario,world_seed,agent_seed,collection_fraction,opponents_eliminated,self_kills,score,survived,first_place,tied_first,placement,invalid_actions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match
r1,competitive,228201,328201,0.2222222222222222,0,0,2,False,0,0,2,2,0.7178783416748047,0.8840560913085938,8ff17113fff530cd999128b9f95917f73f43185b56c0d4775155405736ed7848,False
r1,competitive,228202,328202,0.2222222222222222,0,0,2,True,0,0,2,10,0.9452819824218748,1.4040470123291016,9aac9c73d42eb96059d052c7b5a9be1e54552b0059d1a57b08cbc74512998bda,False
r1,competitive,228203,328203,0.1111111111111111,0,0,1,False,0,0,4,5,0.5875587463378906,0.8687973022460938,a5a4635268742796ade1d9614d521fe63f20f9dadf10abfe173c39be90de0f7b,False
r1,competitive,228204,328204,0.1111111111111111,0,1,1,False,0,0,4,1,0.7748603820800781,0.9510517120361328,1e4e14465b2bb1238dc8763253af17265d15559112d242d2a12271f91efcd118,False
r1,competitive,228205,328205,0.1111111111111111,0,1,1,False,0,0,3,2,0.8099079132080077,0.9992122650146484,b8498f5b69f2df3fd88a62bcf76ff9d918e471a64218c378e3a110ee4e8a5d15,False
r1,competitive,228206,328206,0.1111111111111111,0,0,1,False,0,0,3,5,0.4761219024658203,0.5300045013427734,1b4f9520bb9a545a91158a1206140b34fc42fed0f4209f5233fef4fa51e1dda6,False
r1,competitive,228207,328207,0.1111111111111111,0,0,1,False,0,0,4,2,0.6918907165527344,1.0440349578857422,fa2a2dea0f4040fe80dcd7c99239d7bcdf17229512ae53b2e1015b4542835b95,False
r1,competitive,228208,328208,0.1111111111111111,0,0,1,False,0,0,3,12,1.2534141540527342,1.4450550079345703,c749b5c4d53f80a1b71b13b99f75f8be3e435cfdf99a41706aed2cd656145b7e,False
r1,competitive,228209,328209,0.1111111111111111,1,0,6,True,1,0,1,12,1.3791680335998506,3.100156784057617,f6f19342a0cb9292f6b2df215d4fbabf6d8b7690c5fbcc8b686c4f69d6239712,False
r1,competitive,228210,328210,0.1111111111111111,0,1,1,False,0,0,3,7,1.3643741607666013,2.276182174682617,d304e843b5be58d1f033f2fde88b048e253cad90717b0f1e0d55701a09e7984d,False
r1,competitive,228211,328211,0.3333333333333333,0,0,3,True,0,0,3,24,1.3038873672485345,3.1120777130126953,e8bcf0af18238b0109b1a1453f584807af2eb61cd81cafd587c185e3f03bcd62,False
r1,competitive,228212,328212,0.0,0,1,0,False,0,0,4,8,1.5128612518310547,2.5599002838134766,ca702ae88f726d20ea50d604d39012c5659c36e4826b20ec25c4a86a032f8118,False
r1,competitive,228213,328213,0.2222222222222222,0,1,2,False,0,0,4,15,3.753018379211426,8.034944534301758,4d8206aed048beed40c4cd0218172cc3f9a882e7bba582fbedf977a9cefd6031,False
r1,competitive,228214,328214,0.1111111111111111,0,0,1,False,0,0,3,11,1.8925428390502927,2.9909610748291016,d3a04f0a837af575a70e30b134f1b1788880d4e59b76147fe7ba9a3834ae689b,False
r1,competitive,228215,328215,0.2222222222222222,0,1,2,False,0,0,3,3,1.013040542602539,1.1429786682128906,c12c3d8beaacca43020880ce6a3714cebb7a7c97d1b3c2bb20b20dfa6a0f7783,False
r1,competitive,228216,328216,0.1111111111111111,0,0,1,True,0,0,4,16,2.041137218475342,3.2770633697509766,72b2442d09aba038f863595de84cc3d85df8d45977a9010e7736d38254af165a,False
r1,competitive,228217,328217,0.2222222222222222,0,1,2,False,0,0,3,7,0.9160041809082031,1.1780261993408203,b1a6c9ed3e687c1f2a70b1fdb794deb5ba36152fb3ecf41056465f605f34fe71,False
r1,competitive,228218,328218,0.3333333333333333,0,1,3,False,0,1,1,4,0.6483554840087891,0.7979869842529297,6de012a661573bb8c62ee09d9ffd0f3b3cd73a68c9739ee29fee526f88dc5ed1,False
r1,competitive,228219,328219,0.4444444444444444,0,0,4,False,0,0,3,11,0.6663322448730472,1.7011165618896484,729afbef129ef55b0fa5768d300283cc3857eefa3432662e22d2bbc61a3f7023,False
r1,competitive,228220,328220,0.0,0,1,0,False,0,0,3,8,0.4977703094482423,0.6651878356933594,0354f95b94ca7c48e14ab4082f5b6b1380b8c55810893033e1acc3cddc55857d,False
r1,mixed,228601,328601,0.0,0,1,0,False,0,0,3,5,0.5408287048339844,0.5972385406494141,f2df5505a0f48f94b6b2e15bd0e2b383711e96bb22a23665806d21ab3bc5dc8f,False
r1,mixed,228602,328602,0.0,0,1,0,False,0,0,3,2,0.4814624786376953,0.5118846893310547,ec238cdb26bbf75e544968b0d1ce3c9074a5452e67429b929e6d147e45d316e0,False
r1,mixed,228603,328603,0.0,0,0,0,False,0,0,3,4,0.44019222259521446,0.6010532379150391,507c05c7a9051be270b6378d00cdd9596566d51c84899e4902a69f57cbbe218a,False
r1,mixed,228604,328604,0.2222222222222222,0,1,2,False,0,0,3,14,0.628590583801269,0.804901123046875,787c7079c4b0934674673c491e705456c32a128de4443f04f6f4e8a6ca935e68,False
r1,mixed,228605,328605,0.3333333333333333,0,0,3,True,0,0,2,22,0.550436973571777,0.7417201995849609,3bcae522fe9e716e1a0578b6bd9c414be6c6cecd38e56bc50eacb14e48f9e6a6,False
r1,mixed,228606,328606,0.1111111111111111,0,0,1,False,0,0,3,16,0.6711483001708984,1.1866092681884766,55af99375058f8089cd828e85b80c00f254d869a0bdb9b9ac186507eb6116a01,False
r1,mixed,228607,328607,0.0,0,1,0,False,0,0,3,2,0.40988922119140625,0.5559921264648438,1324fc2974dbfee742d3fcfd8747217dbb6b1b0712f61c69a8ee806d575d5f11,False
r1,mixed,228608,328608,0.1111111111111111,0,0,1,True,0,0,3,19,0.7561683654785155,1.6491413116455078,0087189bac1b7bd42453aa2dd023d423ab7cba4a1fca6ab88d01aa5faa43ce94,False
r1,mixed,228609,328609,0.3333333333333333,0,1,3,False,0,0,2,1,0.9325981140136718,1.1777877807617188,5861db9140a20e5ce59e61cf4512342a693d7cf4f3c74e53971e0ede886231cf,False
r1,mixed,228610,328610,0.4444444444444444,0,1,4,False,0,0,2,11,1.3500571250915527,3.1599998474121094,172b815c29c042bb181116d27ee1fe836d62b1601b22a099b9662732f4ebf475,False
r1,mixed,228611,328611,0.3333333333333333,0,0,3,True,0,0,3,11,2.020323276519775,3.4949779510498047,2c906e47cfe06577d3909264fe8a3857826487c0200cdd5dfac2d9470b7b3e5c,False
r1,mixed,228612,328612,0.2222222222222222,0,0,2,True,0,0,2,13,1.8410921096801756,3.347158432006836,9599b2805c1a2a988071d477b4e6a632f320254055050c4e9fe0d92e789c7481,False
r1,mixed,228613,328613,0.2222222222222222,0,1,2,False,0,0,3,5,2.237856388092041,3.072023391723633,155d8af62bb35789ec1f3a6eeddc428ba79c0e384abee759eac76cfe16ab08ca,False
r1,mixed,228614,328614,0.0,1,1,5,False,0,0,2,7,1.5393137931823735,3.0660629272460938,cf8030c0f23abfc78bea7382126a4e3989f072a44ab9133155917c02d3c630ac,False
r1,mixed,228615,328615,0.1111111111111111,0,0,1,True,0,0,2,32,2.8947472572326647,4.472017288208008,326023d57b20ec9115a2f1c3acabdfb3d6c32377948cf47fdca5c09c21c39851,False
r1,mixed,228616,328616,0.1111111111111111,1,0,6,True,0,1,1,23,1.398539543151855,8.334159851074219,b736c8464da857a05e18e42e5f7b12e190c35e91fc2834a0d7c90db651d0ba58,False
r1,mixed,228617,328617,0.2222222222222222,0,0,2,True,0,0,3,12,1.0666728019714349,2.6459693908691406,2ea730e2aff046b5780c7e9c0364f66efb0cea7bb92a8a2b7e8329bb71c548e9,False
r1,mixed,228618,328618,0.1111111111111111,0,1,1,False,0,0,3,15,1.116251945495605,4.930973052978516,d30f6888961503e0746ad9beb080afcb8668e6e9d6bf596efb28be2adc8f166b,False
r1,mixed,228619,328619,0.2222222222222222,0,0,2,True,0,0,3,7,0.5689859390258781,0.8270740509033203,85d98ab0332122c7938627333573f8dbeaca281cab582d7845b58a5b0abaecca,False
r1,mixed,228620,328620,0.1111111111111111,0,1,1,False,0,0,3,4,0.4470348358154297,0.4978179931640625,6089192b181a8d01f2da140ad34b1eaf6a0889707ef5d4f0d866938ec34b9567,False
r1,peaceful,228101,328101,0.1111111111111111,0,0,1,True,1,0,1,0,0.2040863037109375,0.3960132598876953,a2b93a0d9ee66d370bc18c225cc7d12f5f2c463f37a7f0be0d14ebb703823bac,True
r1,peaceful,228102,328102,0.0,0,0,0,True,0,1,1,0,0.23393630981445307,0.39196014404296875,8c6ff0f220746cb41d2b7c7ee21149a2afbfad650233ef5aa861b3b8778886b2,True
r1,peaceful,228103,328103,0.1111111111111111,0,0,1,True,1,0,1,2,0.30112266540527344,0.40030479431152344,e73ac2a40a4372500be1af121521a7dff93b645483572af3b507a5ac31901c2b,True
