replica,scenario,episodes,mean_collection_fraction,mean_opponents_eliminated,self_kill_rate,mean_score,survival_rate,first_place_rate,tied_first_rate,mean_placement,invalid_action_rate,decision_time_p95_ms,decision_time_max_ms
r1,classic,20,0.14444444444444443,0.0,0.0,1.3,1.0,,,,3.15,0.7335305213928219,9.60683822631836
r1,coin-heaven,20,1.0,0.0,0.0,50.0,1.0,,,,0.05,0.8826255798339842,7.483720779418945
r1,competitive,20,0.16666666666666666,0.05,0.45,1.75,0.2,0.05,0.05,3.0,8.25,3.753018379211426,8.034944534301758
r1,loot-crate,20,0.286,0.0,0.15,14.3,0.85,,,,13.95,0.280332565307617,0.4038810729980469
r1,mixed,20,0.1611111111111111,0.1,0.5,1.95,0.4,0.0,0.05,2.6,11.25,2.8947472572326647,8.334159851074219
r1,peaceful,20,0.17222222222222222,0.05,0.15,1.8,0.85,0.75,0.25,1.0,4.6,0.5018830299377441,0.5917549133300781
r2,classic,20,0.1388888888888889,0.0,0.0,1.25,1.0,,,,9.3,0.317108631134033,0.74005126953125
r2,coin-heaven,20,1.0,0.0,0.0,50.0,1.0,,,,0.05,0.4902839660644529,0.7588863372802734
r2,competitive,20,0.17222222222222222,0.0,0.45,1.55,0.3,0.05,0.0,2.95,7.55,1.191437244415283,1.83868408203125
r2,loot-crate,20,0.164,0.0,0.0,8.2,1.0,,,,13.9,0.7933378219604489,1.4948844909667969
r2,mixed,20,0.1388888888888889,0.15,0.55,2.0,0.4,0.0,0.0,2.6,9.4,1.182472705841064,1.7409324645996094
r2,peaceful,20,0.1388888888888889,0.0,0.05,1.25,0.95,0.6,0.4,1.0,9.3,1.0359764099121094,1.5151500701904297
r3,classic,20,0.16666666666666666,0.0,0.1,1.5,0.9,,,,15.6,0.394284725189209,0.6608963012695312
r3,coin-heaven,20,1.0,0.0,0.0,50.0,1.0,,,,0.05,0.9842157363891588,1.4371871948242188
r3,competitive,20,0.16666666666666666,0.05,0.45,1.75,0.25,0.0,0.05,2.85,5.8,1.487112045288086,4.227161407470703
r3,loot-crate,20,0.17099999999999999,0.0,0.1,8.55,0.9,,,,7.3,0.9984612464904783,11.652708053588867
r3,mixed,20,0.2,0.2,0.3,2.8,0.55,0.2,0.0,2.25,12.0,1.5504479408264158,2.05230712890625
r3,peaceful,20,0.22777777777777777,0.1,0.0,2.55,1.0,0.8,0.2,1.0,10.15,1.9616842269897419,11.574029922485352
r4,classic,20,0.17777777777777776,0.0,0.0,1.6,1.0,,,,16.9,0.7758140563964844,2.9540061950683594
r4,coin-heaven,20,1.0,0.0,0.0,50.0,1.0,,,,0.05,0.723171234130858,1.3120174407958984
r4,competitive,20,0.17777777777777776,0.1,0.25,2.1,0.35,0.05,0.1,2.6,7.95,2.5453567504882812,3.9949417114257812
r4,loot-crate,20,0.253,0.0,0.2,12.65,0.8,,,,17.65,0.3301620483398436,0.9973049163818359
r4,mixed,20,0.15555555555555553,0.0,0.5,1.4,0.15,0.05,0.0,2.7,7.0,3.5708427429199205,10.450124740600586
r4,peaceful,20,0.2111111111111111,0.1,0.1,2.4,0.9,0.55,0.45,1.0,7.95,0.5151271820068358,0.6320476531982422
r5,classic,20,0.19444444444444445,0.0,0.0,1.75,1.0,,,,12.9,0.9791016578674315,11.389970779418945
r5,coin-heaven,20,1.0,0.0,0.0,50.0,1.0,,,,0.05,0.4323124885559081,0.476837158203125
r5,competitive,20,0.19444444444444445,0.15,0.45,2.5,0.2,0.05,0.05,2.75,7.75,1.9815087318420368,6.319999694824219
r5,loot-crate,20,0.146,0.0,0.15,7.3,0.85,,,,18.3,0.6904125213623017,1.0139942169189453
r5,mixed,20,0.17222222222222222,0.2,0.5,2.55,0.4,0.1,0.0,2.5,9.95,2.445375919342039,6.448030471801758
r5,peaceful,20,0.11666666666666665,0.15,0.05,1.8,0.95,0.6,0.4,1.0,6.0,0.7151126861572265,7.8220367431640625
