candidate,metric,worlds,mean_difference_vs_reference,ci95_low,ci95_high
control-r1@6000,score,150,1.2133,0.76,1.6867
control-r1@6000,kills,150,0.0533,-0.02,0.1267
control-r1@6000,self_kills,150,-0.14,-0.2467,-0.0333
control-r1@6000,survived,150,0.0333,-0.06,0.1267
control-r1@6000,collection_fraction,150,0.1052,0.0733,0.1363
control-r1@8000,score,150,1.5733,0.9933,2.16
control-r1@8000,kills,150,0.1,0.0133,0.1867
control-r1@8000,self_kills,150,-0.06,-0.16,0.04
control-r1@8000,survived,150,-0.02,-0.1067,0.0667
control-r1@8000,collection_fraction,150,0.1193,0.0852,0.1533
control-r2@6000,score,150,1.6067,1.0667,2.16
control-r2@6000,kills,150,0.0933,0.0067,0.1733
control-r2@6000,self_kills,150,-0.0867,-0.1867,0.0133
control-r2@6000,survived,150,0.0133,-0.0733,0.1
control-r2@6000,collection_fraction,150,0.1267,0.0941,0.1585
control-r2@8000,score,150,1.48,0.9867,1.96
control-r2@8000,kills,150,0.04,-0.0333,0.1067
control-r2@8000,self_kills,150,-0.1667,-0.26,-0.0733
control-r2@8000,survived,150,0.1667,0.08,0.26
control-r2@8000,collection_fraction,150,0.1422,0.1059,0.1785
control-r3@6000,score,150,1.7067,1.1867,2.2467
control-r3@6000,kills,150,0.0867,0,0.1733
control-r3@6000,self_kills,150,-0.1067,-0.2133,0.0067
control-r3@6000,survived,150,0.0467,-0.0467,0.14
control-r3@6000,collection_fraction,150,0.1415,0.1111,0.1704
control-r3@8000,score,150,1.62,1.0933,2.1533
control-r3@8000,kills,150,0.06,-0.0133,0.1267
control-r3@8000,self_kills,150,-0.0133,-0.1067,0.08
control-r3@8000,survived,150,-0.0067,-0.0867,0.0733
control-r3@8000,collection_fraction,150,0.1467,0.1126,0.1807
control@6000 (pooled),score,150,1.5089,1.0956,1.9222
control@6000 (pooled),kills,150,0.0778,0.0133,0.1378
control@6000 (pooled),self_kills,150,-0.1111,-0.1956,-0.0244
control@6000 (pooled),survived,150,0.0311,-0.0467,0.1067
control@6000 (pooled),collection_fraction,150,0.1244,0.0985,0.1499
control@8000 (pooled),score,150,1.5578,1.1044,1.9911
control@8000 (pooled),kills,150,0.0667,-0.0,0.1222
control@8000 (pooled),self_kills,150,-0.08,-0.1489,-0.0089
control@8000 (pooled),survived,150,0.0467,-0.02,0.1111
control@8000 (pooled),collection_fraction,150,0.136,0.1067,0.1657
halved-r1@6000,score,150,1.4267,0.9533,1.9
halved-r1@6000,kills,150,0.0533,-0.02,0.1267
halved-r1@6000,self_kills,150,-0.1,-0.2067,0.0067
halved-r1@6000,survived,150,-0.0133,-0.1,0.0733
halved-r1@6000,collection_fraction,150,0.1289,0.1,0.1585
halved-r1@8000,score,150,1.6133,1.1467,2.0933
halved-r1@8000,kills,150,0.0667,-0.0067,0.14
halved-r1@8000,self_kills,150,-0.0533,-0.1467,0.0467
halved-r1@8000,survived,150,0.02,-0.06,0.1
halved-r1@8000,collection_fraction,150,0.1422,0.1104,0.1741
halved-r2@6000,score,150,1.3333,0.8467,1.7933
halved-r2@6000,kills,150,0.0333,-0.04,0.1
halved-r2@6000,self_kills,150,-0.0667,-0.1733,0.0333
halved-r2@6000,survived,150,0.02,-0.0733,0.1133
halved-r2@6000,collection_fraction,150,0.1296,0.097,0.1622
halved-r2@8000,score,150,1.6667,1.1667,2.18
halved-r2@8000,kills,150,0.08,0,0.1533
halved-r2@8000,self_kills,150,-0.08,-0.18,0.02
halved-r2@8000,survived,150,0.0467,-0.04,0.1333
halved-r2@8000,collection_fraction,150,0.1407,0.1111,0.1704
halved-r3@6000,score,150,1.28,0.7933,1.7533
halved-r3@6000,kills,150,0.0467,-0.0333,0.12
halved-r3@6000,self_kills,150,-0.1533,-0.26,-0.04
halved-r3@6000,survived,150,0.0933,0,0.1867
halved-r3@6000,collection_fraction,150,0.1163,0.0874,0.1444
halved-r3@8000,score,150,1.5867,1.1,2.08
halved-r3@8000,kills,150,0.06,-0.0133,0.1333
halved-r3@8000,self_kills,150,-0.1333,-0.2333,-0.0333
halved-r3@8000,survived,150,-0.0067,-0.0933,0.08
halved-r3@8000,collection_fraction,150,0.143,0.1119,0.1748
halved@6000 (pooled),score,150,1.3467,0.9467,1.7222
halved@6000 (pooled),kills,150,0.0444,-0.02,0.0978
halved@6000 (pooled),self_kills,150,-0.1067,-0.1889,-0.02
halved@6000 (pooled),survived,150,0.0333,-0.0378,0.1022
halved@6000 (pooled),collection_fraction,150,0.1249,0.1005,0.1491
halved@8000 (pooled),score,150,1.6222,1.2267,2.0022
halved@8000 (pooled),kills,150,0.0689,0.0067,0.1222
halved@8000 (pooled),self_kills,150,-0.0889,-0.1644,-0.0111
halved@8000 (pooled),survived,150,0.02,-0.0511,0.0867
halved@8000 (pooled),collection_fraction,150,0.142,0.116,0.1679
