artifact,arm,episode,games,score,kills,self_kills,survived,coins,collection_fraction,invalid
reference,reference,0,150,1.5267,0.06,0.72,0.1933,1.2267,0.1363,0.32
control-r1@6000,control,6000,150,2.74,0.1133,0.58,0.2267,2.1733,0.2415,0.5333
control-r2@6000,control,6000,150,3.1333,0.1533,0.6333,0.2067,2.3667,0.263,0.64
control-r3@6000,control,6000,150,3.2333,0.1467,0.6133,0.24,2.5,0.2778,0.7267
halved-r1@6000,halved,6000,150,2.9533,0.1133,0.62,0.18,2.3867,0.2652,0.58
halved-r2@6000,halved,6000,150,2.86,0.0933,0.6533,0.2133,2.3933,0.2659,0.5867
halved-r3@6000,halved,6000,150,2.8067,0.1067,0.5667,0.2867,2.2733,0.2526,0.5933
control-r1@8000,control,8000,150,3.1,0.16,0.66,0.1733,2.3,0.2556,0.66
control-r2@8000,control,8000,150,3.0067,0.1,0.5533,0.36,2.5067,0.2785,0.5333
control-r3@8000,control,8000,150,3.1467,0.12,0.7067,0.1867,2.5467,0.283,0.68
halved-r1@8000,halved,8000,150,3.14,0.1267,0.6667,0.2133,2.5067,0.2785,0.6333
halved-r2@8000,halved,8000,150,3.1933,0.14,0.64,0.24,2.4933,0.277,0.5
halved-r3@8000,halved,8000,150,3.1133,0.12,0.5867,0.1867,2.5133,0.2793,0.7333
