candidate,metric,worlds,mean_difference_vs_reference,ci95_low,ci95_high
control-r1@6000,score,150,1.0267,0.5533,1.5267
control-r1@6000,kills,150,-0.0067,-0.0667,0.0533
control-r1@6000,self_kills,150,-0.2533,-0.3533,-0.1533
control-r1@6000,survived,150,0.2533,0.1533,0.3533
control-r1@6000,collection_fraction,150,0.1178,0.0837,0.1526
control-r1@8000,score,150,1.2333,0.7333,1.7467
control-r1@8000,kills,150,0.0133,-0.0533,0.08
control-r1@8000,self_kills,150,-0.2,-0.3,-0.1
control-r1@8000,survived,150,0.2667,0.1667,0.36
control-r1@8000,collection_fraction,150,0.1296,0.0948,0.1637
control-r2@6000,score,150,1.42,0.8667,1.98
control-r2@6000,kills,150,0.0533,-0.02,0.1267
control-r2@6000,self_kills,150,-0.1867,-0.2867,-0.0867
control-r2@6000,survived,150,0.2467,0.1533,0.34
control-r2@6000,collection_fraction,150,0.1281,0.0911,0.1652
control-r2@8000,score,150,1.3333,0.84,1.8267
control-r2@8000,kills,150,0.0133,-0.0533,0.08
control-r2@8000,self_kills,150,-0.18,-0.2867,-0.0733
control-r2@8000,survived,150,0.26,0.1667,0.3533
control-r2@8000,collection_fraction,150,0.1407,0.1081,0.1741
control-r3@6000,score,150,1.8267,1.22,2.4533
control-r3@6000,kills,150,0.0933,0.0133,0.18
control-r3@6000,self_kills,150,-0.2267,-0.3267,-0.1333
control-r3@6000,survived,150,0.26,0.1667,0.3533
control-r3@6000,collection_fraction,150,0.1511,0.1178,0.1852
control-r3@8000,score,150,1.3133,0.84,1.7867
control-r3@8000,kills,150,0.0133,-0.0533,0.08
control-r3@8000,self_kills,150,-0.1333,-0.2467,-0.02
control-r3@8000,survived,150,0.0533,-0.0333,0.14
control-r3@8000,collection_fraction,150,0.1385,0.1044,0.1733
control@6000 (pooled),score,150,1.4244,0.9711,1.8844
control@6000 (pooled),kills,150,0.0467,-0.0133,0.1044
control@6000 (pooled),self_kills,150,-0.2222,-0.2956,-0.1467
control@6000 (pooled),survived,150,0.2533,0.1822,0.3244
control@6000 (pooled),collection_fraction,150,0.1323,0.1035,0.1612
control@8000 (pooled),score,150,1.2933,0.8756,1.72
control@8000 (pooled),kills,150,0.0133,-0.0444,0.0667
control@8000 (pooled),self_kills,150,-0.1711,-0.2578,-0.0822
control@8000 (pooled),survived,150,0.1933,0.12,0.2622
control@8000 (pooled),collection_fraction,150,0.1363,0.1081,0.1647
halved-r1@6000,score,150,1.4,0.94,1.8533
halved-r1@6000,kills,150,0.0467,-0.02,0.1133
halved-r1@6000,self_kills,150,-0.1,-0.2067,0.0067
halved-r1@6000,survived,150,0.1867,0.0933,0.28
halved-r1@6000,collection_fraction,150,0.1296,0.097,0.163
halved-r1@8000,score,150,1.2267,0.74,1.7267
halved-r1@8000,kills,150,0.0067,-0.06,0.0733
halved-r1@8000,self_kills,150,-0.2133,-0.3267,-0.1067
halved-r1@8000,survived,150,0.1867,0.0933,0.2867
halved-r1@8000,collection_fraction,150,0.1326,0.1,0.1659
halved-r2@6000,score,150,1.2933,0.8067,1.78
halved-r2@6000,kills,150,0.02,-0.0467,0.0867
halved-r2@6000,self_kills,150,-0.2133,-0.3267,-0.1067
halved-r2@6000,survived,150,0.2867,0.2,0.38
halved-r2@6000,collection_fraction,150,0.1326,0.0978,0.1681
halved-r2@8000,score,150,1.3,0.8133,1.7733
halved-r2@8000,kills,150,0.0267,-0.04,0.1
halved-r2@8000,self_kills,150,-0.1133,-0.2133,-0.0067
halved-r2@8000,survived,150,0.2067,0.1133,0.3
halved-r2@8000,collection_fraction,150,0.1296,0.0978,0.1615
halved-r3@6000,score,150,1.2733,0.7733,1.7667
halved-r3@6000,kills,150,0.0267,-0.04,0.0933
halved-r3@6000,self_kills,150,-0.2333,-0.3333,-0.1267
halved-r3@6000,survived,150,0.28,0.18,0.3733
halved-r3@6000,collection_fraction,150,0.1267,0.0933,0.1615
halved-r3@8000,score,150,1.68,1.1733,2.2
halved-r3@8000,kills,150,0.0533,-0.0133,0.1267
halved-r3@8000,self_kills,150,-0.1667,-0.28,-0.0533
halved-r3@8000,survived,150,0.24,0.14,0.34
halved-r3@8000,collection_fraction,150,0.157,0.1207,0.1933
halved@6000 (pooled),score,150,1.3222,0.9267,1.6978
halved@6000 (pooled),kills,150,0.0311,-0.0267,0.08
halved@6000 (pooled),self_kills,150,-0.1822,-0.2644,-0.1022
halved@6000 (pooled),survived,150,0.2511,0.1844,0.3156
halved@6000 (pooled),collection_fraction,150,0.1296,0.101,0.1588
halved@8000 (pooled),score,150,1.4022,0.9889,1.7978
halved@8000 (pooled),kills,150,0.0289,-0.0267,0.08
halved@8000 (pooled),self_kills,150,-0.1644,-0.2511,-0.0778
halved@8000 (pooled),survived,150,0.2111,0.1333,0.2844
halved@8000 (pooled),collection_fraction,150,0.1398,0.1116,0.1672
