artifact,arm,episode,games,score,kills,self_kills,survived,coins,collection_fraction,invalid
reference,reference,0,150,1.7267,0.0733,0.7067,0.1533,1.36,0.1511,0.6933
control-r1@6000,control,6000,150,2.7533,0.0667,0.4533,0.4067,2.42,0.2689,1.16
control-r2@6000,control,6000,150,3.1467,0.1267,0.52,0.4,2.5133,0.2793,1.3667
control-r3@6000,control,6000,150,3.5533,0.1667,0.48,0.4133,2.72,0.3022,1.6667
halved-r1@6000,halved,6000,150,3.1267,0.12,0.6067,0.34,2.5267,0.2807,1.1267
halved-r2@6000,halved,6000,150,3.02,0.0933,0.4933,0.44,2.5533,0.2837,1.3133
halved-r3@6000,halved,6000,150,3,0.1,0.4733,0.4333,2.5,0.2778,1.1467
control-r1@8000,control,8000,150,2.96,0.0867,0.5067,0.42,2.5267,0.2807,1.5933
control-r2@8000,control,8000,150,3.06,0.0867,0.5267,0.4133,2.6267,0.2919,1.18
control-r3@8000,control,8000,150,3.04,0.0867,0.5733,0.2067,2.6067,0.2896,1.1667
halved-r1@8000,halved,8000,150,2.9533,0.08,0.4933,0.34,2.5533,0.2837,1.3667
halved-r2@8000,halved,8000,150,3.0267,0.1,0.5933,0.36,2.5267,0.2807,1.1467
halved-r3@8000,halved,8000,150,3.4067,0.1267,0.54,0.3933,2.7733,0.3081,1.5933
