candidate,metric,worlds,mean_difference_vs_reference,ci95_low,ci95_high
control-r1@6000,score,150,1.0267,0.5133,1.5467
control-r1@6000,kills,150,0.0133,-0.0533,0.08
control-r1@6000,self_kills,150,-0.24,-0.3467,-0.1333
control-r1@6000,survived,150,0.1733,0.0733,0.2733
control-r1@6000,collection_fraction,150,0.1067,0.0726,0.1415
control-r1@8000,score,150,0.8267,0.3133,1.3667
control-r1@8000,kills,150,-0.04,-0.1067,0.02
control-r1@8000,self_kills,150,-0.2267,-0.3267,-0.12
control-r1@8000,survived,150,0.1667,0.0667,0.2667
control-r1@8000,collection_fraction,150,0.1141,0.0741,0.1533
control-r2@6000,score,150,1.1,0.54,1.6733
control-r2@6000,kills,150,0.02,-0.06,0.1
control-r2@6000,self_kills,150,-0.1933,-0.3,-0.0867
control-r2@6000,survived,150,0.1667,0.0667,0.2667
control-r2@6000,collection_fraction,150,0.1111,0.0756,0.1496
control-r2@8000,score,150,0.94,0.44,1.44
control-r2@8000,kills,150,0,-0.0667,0.0667
control-r2@8000,self_kills,150,-0.2867,-0.3933,-0.18
control-r2@8000,survived,150,0.2133,0.1133,0.3133
control-r2@8000,collection_fraction,150,0.1044,0.0704,0.1393
control-r3@6000,score,150,1,0.44,1.5533
control-r3@6000,kills,150,0.0267,-0.0533,0.1067
control-r3@6000,self_kills,150,-0.2733,-0.3733,-0.1667
control-r3@6000,survived,150,0.2133,0.1133,0.3133
control-r3@6000,collection_fraction,150,0.0963,0.063,0.1289
control-r3@8000,score,150,1.0933,0.5467,1.6333
control-r3@8000,kills,150,0.0333,-0.0467,0.1067
control-r3@8000,self_kills,150,-0.1533,-0.2533,-0.0533
control-r3@8000,survived,150,0.0133,-0.0667,0.0933
control-r3@8000,collection_fraction,150,0.103,0.0689,0.1378
control@6000 (pooled),score,150,1.0422,0.5689,1.5133
control@6000 (pooled),kills,150,0.02,-0.0422,0.08
control@6000 (pooled),self_kills,150,-0.2356,-0.3133,-0.1556
control@6000 (pooled),survived,150,0.1844,0.1089,0.2578
control@6000 (pooled),collection_fraction,150,0.1047,0.0743,0.1351
control@8000 (pooled),score,150,0.9533,0.4889,1.4156
control@8000 (pooled),kills,150,-0.0022,-0.0622,0.0511
control@8000 (pooled),self_kills,150,-0.2222,-0.3022,-0.14
control@8000 (pooled),survived,150,0.1311,0.0556,0.2
control@8000 (pooled),collection_fraction,150,0.1072,0.076,0.1383
halved-r1@6000,score,150,1.2733,0.7067,1.84
halved-r1@6000,kills,150,0.0333,-0.0467,0.1133
halved-r1@6000,self_kills,150,-0.2133,-0.3133,-0.1067
halved-r1@6000,survived,150,0.1467,0.0467,0.24
halved-r1@6000,collection_fraction,150,0.123,0.0874,0.157
halved-r1@8000,score,150,1.1333,0.6,1.6467
halved-r1@8000,kills,150,0.0333,-0.04,0.1
halved-r1@8000,self_kills,150,-0.22,-0.3133,-0.12
halved-r1@8000,survived,150,0.14,0.04,0.2333
halved-r1@8000,collection_fraction,150,0.1074,0.0696,0.1444
halved-r2@6000,score,150,0.9133,0.42,1.4
halved-r2@6000,kills,150,0,-0.0667,0.0667
halved-r2@6000,self_kills,150,-0.24,-0.3467,-0.1333
halved-r2@6000,survived,150,0.2067,0.1067,0.3
halved-r2@6000,collection_fraction,150,0.1015,0.0667,0.137
halved-r2@8000,score,150,1.34,0.8067,1.88
halved-r2@8000,kills,150,0.04,-0.0333,0.1133
halved-r2@8000,self_kills,150,-0.1933,-0.2933,-0.0933
halved-r2@8000,survived,150,0.18,0.08,0.28
halved-r2@8000,collection_fraction,150,0.1267,0.0874,0.1644
halved-r3@6000,score,150,1.3667,0.7467,1.9733
halved-r3@6000,kills,150,0.06,-0.02,0.14
halved-r3@6000,self_kills,150,-0.2667,-0.36,-0.1667
halved-r3@6000,survived,150,0.24,0.14,0.3333
halved-r3@6000,collection_fraction,150,0.1185,0.0815,0.1548
halved-r3@8000,score,150,1.4267,0.84,1.9733
halved-r3@8000,kills,150,0.0533,-0.0267,0.1333
halved-r3@8000,self_kills,150,-0.1933,-0.2933,-0.0933
halved-r3@8000,survived,150,0.1533,0.06,0.2467
halved-r3@8000,collection_fraction,150,0.1289,0.0926,0.1652
halved@6000 (pooled),score,150,1.1844,0.7067,1.6378
halved@6000 (pooled),kills,150,0.0311,-0.0311,0.0889
halved@6000 (pooled),self_kills,150,-0.24,-0.3156,-0.1622
halved@6000 (pooled),survived,150,0.1978,0.1267,0.2644
halved@6000 (pooled),collection_fraction,150,0.1143,0.083,0.1452
halved@8000 (pooled),score,150,1.3,0.8444,1.7311
halved@8000 (pooled),kills,150,0.0422,-0.0178,0.0956
halved@8000 (pooled),self_kills,150,-0.2022,-0.28,-0.1244
halved@8000 (pooled),survived,150,0.1578,0.0822,0.2289
halved@8000 (pooled),collection_fraction,150,0.121,0.0886,0.1523
