artifact,arm,episode,games,score,kills,self_kills,survived,coins,collection_fraction,invalid
reference,reference,0,150,1.9733,0.0933,0.7467,0.1933,1.5067,0.1674,0.6667
control-r1@6000,control,6000,150,3,0.1067,0.5067,0.3667,2.4667,0.2741,1.18
control-r2@6000,control,6000,150,3.0733,0.1133,0.5533,0.36,2.5067,0.2785,1.0067
control-r3@6000,control,6000,150,2.9733,0.12,0.4733,0.4067,2.3733,0.2637,1.5
halved-r1@6000,halved,6000,150,3.2467,0.1267,0.5333,0.34,2.6133,0.2904,1.24
halved-r2@6000,halved,6000,150,2.8867,0.0933,0.5067,0.4,2.42,0.2689,1.2733
halved-r3@6000,halved,6000,150,3.34,0.1533,0.48,0.4333,2.5733,0.2859,1.2667
control-r1@8000,control,8000,150,2.8,0.0533,0.52,0.36,2.5333,0.2815,1.2733
control-r2@8000,control,8000,150,2.9133,0.0933,0.46,0.4067,2.4467,0.2719,1.1933
control-r3@8000,control,8000,150,3.0667,0.1267,0.5933,0.2067,2.4333,0.2704,1.0667
halved-r1@8000,halved,8000,150,3.1067,0.1267,0.5267,0.3333,2.4733,0.2748,1.18
halved-r2@8000,halved,8000,150,3.3133,0.1333,0.5533,0.3733,2.6467,0.2941,1.0867
halved-r3@8000,halved,8000,150,3.4,0.1467,0.5533,0.3467,2.6667,0.2963,1.32
