artifact,arm,episode,games,score,kills,self_kills,survived,coins,collection_fraction,invalid
reference,reference,0,40,1.825,0.075,0.8,0.175,1.45,0.1611,0.5
control-r1@2000,control,2000,40,2.075,0.05,0.65,0.275,1.825,0.2028,0.9
control-r2@2000,control,2000,40,2.5,0.05,0.625,0.225,2.25,0.25,1
control-r3@2000,control,2000,40,3.125,0.175,0.625,0.125,2.25,0.25,1.125
halved-r1@2000,halved,2000,40,2.2,0.075,0.6,0.35,1.825,0.2028,0.75
halved-r2@2000,halved,2000,40,3.025,0.05,0.45,0.425,2.775,0.3083,1.175
halved-r3@2000,halved,2000,40,2.2,0.075,0.525,0.4,1.825,0.2028,1.35
control-r1@4000,control,4000,40,2.4,0.025,0.7,0.225,2.275,0.2528,0.725
control-r2@4000,control,4000,40,1.675,0.025,0.775,0.2,1.55,0.1722,0.525
control-r3@4000,control,4000,40,2.9,0.125,0.525,0.25,2.275,0.2528,0.875
halved-r1@4000,halved,4000,40,2.75,0.1,0.475,0.475,2.25,0.25,1.4
halved-r2@4000,halved,4000,40,2.05,0,0.4,0.45,2.05,0.2278,1.3
halved-r3@4000,halved,4000,40,2.45,0.025,0.65,0.3,2.325,0.2583,1.2
