artifact,arm,episode,games,score,kills,self_kills,survived,coins,collection_fraction,invalid
reference,reference,0,40,5.625,0,0.725,0.275,5.625,0.1125,0
control-r1@2000,control,2000,40,24.775,0,0.15,0.85,24.775,0.4955,0
control-r2@2000,control,2000,40,9.75,0,0.05,0.95,9.75,0.195,0
control-r3@2000,control,2000,40,15.975,0,0.025,0.975,15.975,0.3195,0
halved-r1@2000,halved,2000,40,10.025,0,0.025,0.975,10.025,0.2005,0
halved-r2@2000,halved,2000,40,18.9,0,0.225,0.775,18.9,0.378,0
halved-r3@2000,halved,2000,40,15.925,0,0.075,0.925,15.925,0.3185,0
control-r1@4000,control,4000,40,17.3,0,0.2,0.8,17.3,0.346,0
control-r2@4000,control,4000,40,17.525,0,0.375,0.625,17.525,0.3505,0
control-r3@4000,control,4000,40,16.225,0,0,1,16.225,0.3245,0
halved-r1@4000,halved,4000,40,8.8,0,0.05,0.95,8.8,0.176,0
halved-r2@4000,halved,4000,40,20.325,0,0.3,0.7,20.325,0.4065,0
halved-r3@4000,halved,4000,40,19.075,0,0.1,0.9,19.075,0.3815,0
