candidate,metric,worlds,mean_difference_vs_reference,ci95_low,ci95_high
control-r1@2000,score,100,0.18,-0.41,0.75
control-r1@2000,kills,100,-0.02,-0.11,0.07
control-r1@2000,self_kills,100,-0.11,-0.25,0.02
control-r1@2000,survived,100,0.07,-0.07,0.2
control-r1@2000,collection_fraction,100,0.0311,-0.0056,0.0667
control-r1@4000,score,100,0.45,-0.1,0.96
control-r1@4000,kills,100,-0.02,-0.09,0.05
control-r1@4000,self_kills,100,-0.11,-0.25,0.03
control-r1@4000,survived,100,0.08,-0.05,0.21
control-r1@4000,collection_fraction,100,0.0611,0.0233,0.0978
control-r1@6000,score,100,0.68,0.04,1.28
control-r1@6000,kills,100,-0.04,-0.13,0.05
control-r1@6000,self_kills,100,-0.23,-0.36,-0.1
control-r1@6000,survived,100,0.16,0.04,0.29
control-r1@6000,collection_fraction,100,0.0978,0.06,0.1356
control-r1@8000,score,100,0.66,0.01,1.29
control-r1@8000,kills,100,-0.03,-0.11,0.05
control-r1@8000,self_kills,100,-0.18,-0.31,-0.05
control-r1@8000,survived,100,0.13,0,0.26
control-r1@8000,collection_fraction,100,0.09,0.0478,0.1311
control-r2@2000,score,100,0.45,-0.14,1.03
control-r2@2000,kills,100,-0.05,-0.13,0.02
control-r2@2000,self_kills,100,-0.17,-0.31,-0.03
control-r2@2000,survived,100,0.06,-0.06,0.19
control-r2@2000,collection_fraction,100,0.0778,0.0389,0.1167
control-r2@4000,score,100,0.19,-0.44,0.82
control-r2@4000,kills,100,-0.02,-0.11,0.07
control-r2@4000,self_kills,100,-0.1,-0.22,0.02
control-r2@4000,survived,100,0.06,-0.05,0.18
control-r2@4000,collection_fraction,100,0.0322,-0.0044,0.0689
control-r2@6000,score,100,0.68,0.05,1.29
control-r2@6000,kills,100,0.03,-0.07,0.12
control-r2@6000,self_kills,100,-0.15,-0.28,-0.02
control-r2@6000,survived,100,0.08,-0.04,0.2
control-r2@6000,collection_fraction,100,0.0589,0.02,0.0989
control-r2@8000,score,100,0.77,0.11,1.45
control-r2@8000,kills,100,-0.01,-0.11,0.09
control-r2@8000,self_kills,100,-0.27,-0.39,-0.15
control-r2@8000,survived,100,0.25,0.12,0.38
control-r2@8000,collection_fraction,100,0.0911,0.0567,0.1278
control-r3@2000,score,100,0.67,0.07,1.24
control-r3@2000,kills,100,-0.03,-0.12,0.05
control-r3@2000,self_kills,100,-0.17,-0.3,-0.05
control-r3@2000,survived,100,0.06,-0.06,0.18
control-r3@2000,collection_fraction,100,0.0911,0.05,0.1322
control-r3@4000,score,100,0.52,-0.14,1.18
control-r3@4000,kills,100,-0.05,-0.14,0.04
control-r3@4000,self_kills,100,-0.13,-0.27,0.01
control-r3@4000,survived,100,0,-0.13,0.13
control-r3@4000,collection_fraction,100,0.0856,0.0478,0.1244
control-r3@6000,score,100,0.7,0.05,1.34
control-r3@6000,kills,100,-0.03,-0.13,0.07
control-r3@6000,self_kills,100,-0.18,-0.31,-0.05
control-r3@6000,survived,100,0.12,-0.01,0.25
