artifact,arm,episode,games,score,kills,self_kills,survived,coins,collection_fraction,invalid
reference,reference,0,100,2.44,0.12,0.68,0.28,1.84,0.2044,0.79
control-r1@2000,control,2000,100,2.62,0.1,0.57,0.35,2.12,0.2356,1.14
control-r2@2000,control,2000,100,2.89,0.07,0.51,0.34,2.54,0.2822,1.46
control-r3@2000,control,2000,100,3.11,0.09,0.51,0.34,2.66,0.2956,1.4
halved-r1@2000,halved,2000,100,3.08,0.14,0.58,0.36,2.38,0.2644,0.99
halved-r2@2000,halved,2000,100,2.78,0.05,0.4,0.53,2.53,0.2811,1.54
halved-r3@2000,halved,2000,100,2.88,0.13,0.48,0.45,2.23,0.2478,1.05
control-r1@4000,control,4000,100,2.89,0.1,0.57,0.36,2.39,0.2656,1.03
control-r2@4000,control,4000,100,2.63,0.1,0.58,0.34,2.13,0.2367,1.01
control-r3@4000,control,4000,100,2.96,0.07,0.55,0.28,2.61,0.29,1.09
halved-r1@4000,halved,4000,100,3.14,0.12,0.45,0.47,2.54,0.2822,0.9
halved-r2@4000,halved,4000,100,3.06,0.15,0.57,0.34,2.31,0.2567,1.22
halved-r3@4000,halved,4000,100,3.19,0.12,0.55,0.39,2.59,0.2878,1.52
control-r1@6000,control,6000,100,3.12,0.08,0.45,0.44,2.72,0.3022,1.35
control-r2@6000,control,6000,100,3.12,0.15,0.53,0.36,2.37,0.2633,1.14
control-r3@6000,control,6000,100,3.14,0.09,0.5,0.4,2.69,0.2989,1.7
halved-r1@6000,halved,6000,100,2.9,0.08,0.64,0.27,2.5,0.2778,1.26
halved-r2@6000,halved,6000,100,3.13,0.13,0.5,0.42,2.48,0.2756,1.16
halved-r3@6000,halved,6000,100,3.26,0.11,0.45,0.42,2.71,0.3011,1.28
