candidate,metric,worlds,mean_difference_vs_reference,ci95_low,ci95_high
control-r1@2000,score,40,-13.6,-20.55,-6.7
control-r1@2000,kills,40,0,0,0
control-r1@2000,self_kills,40,-0.1,-0.2,-0.025
control-r1@2000,survived,40,0.1,0.025,0.2
control-r1@2000,collection_fraction,40,-0.272,-0.411,-0.134
control-r1@4000,score,40,-11.925,-19.025,-4.325
control-r1@4000,kills,40,0,0,0
control-r1@4000,self_kills,40,-0.1,-0.2,-0.025
control-r1@4000,survived,40,0.1,0.025,0.2
control-r1@4000,collection_fraction,40,-0.2385,-0.3805,-0.0865
control-r1@6000,score,40,-15,-21.725,-8.2
control-r1@6000,kills,40,0,0,0
control-r1@6000,self_kills,40,-0.1,-0.2,-0.025
control-r1@6000,survived,40,0.1,0.025,0.2
control-r1@6000,collection_fraction,40,-0.3,-0.4345,-0.164
control-r2@2000,score,40,-10.525,-18.025,-2.9
control-r2@2000,kills,40,0,0,0
control-r2@2000,self_kills,40,-0.1,-0.2,-0.025
control-r2@2000,survived,40,0.1,0.025,0.2
control-r2@2000,collection_fraction,40,-0.2105,-0.3605,-0.058
control-r2@4000,score,40,-10.85,-18,-3.375
control-r2@4000,kills,40,0,0,0
control-r2@4000,self_kills,40,-0.1,-0.2,-0.025
control-r2@4000,survived,40,0.1,0.025,0.2
control-r2@4000,collection_fraction,40,-0.217,-0.36,-0.0675
control-r2@6000,score,40,-10.8,-17.825,-3.475
control-r2@6000,kills,40,0,0,0
control-r2@6000,self_kills,40,-0.1,-0.2,-0.025
control-r2@6000,survived,40,0.1,0.025,0.2
control-r2@6000,collection_fraction,40,-0.216,-0.3565,-0.0695
control-r3@2000,score,40,-11.875,-19.175,-4.675
control-r3@2000,kills,40,0,0,0
control-r3@2000,self_kills,40,-0.1,-0.2,-0.025
control-r3@2000,survived,40,0.1,0.025,0.2
control-r3@2000,collection_fraction,40,-0.2375,-0.3835,-0.0935
control-r3@4000,score,40,18.275,12.875,24.075
control-r3@4000,kills,40,0,0,0
control-r3@4000,self_kills,40,-0.1,-0.2,-0.025
control-r3@4000,survived,40,0.1,0.025,0.2
control-r3@4000,collection_fraction,40,0.3655,0.2575,0.4815
control-r3@6000,score,40,-18.675,-24.875,-12.375
control-r3@6000,kills,40,0,0,0
control-r3@6000,self_kills,40,-0.1,-0.2,-0.025
control-r3@6000,survived,40,0.1,0.025,0.2
control-r3@6000,collection_fraction,40,-0.3735,-0.4975,-0.2475
control@2000 (pooled),score,40,-12.0,-18.5583,-5.45
control@2000 (pooled),kills,40,0,0,0
control@2000 (pooled),self_kills,40,-0.1,-0.2,-0.025
control@2000 (pooled),survived,40,0.1,0.025,0.2
control@2000 (pooled),collection_fraction,40,-0.24,-0.3712,-0.109
control@4000 (pooled),score,40,-1.5,-7.4833,4.9083
control@4000 (pooled),kills,40,0,0,0
control@4000 (pooled),self_kills,40,-0.1,-0.2,-0.025
control@4000 (pooled),survived,40,0.1,0.025,0.2
control@4000 (pooled),collection_fraction,40,-0.03,-0.1497,0.0982
control@6000 (pooled),score,40,-14.825,-20.95,-8.7167
control@6000 (pooled),kills,40,0,0,0
control@6000 (pooled),self_kills,40,-0.1,-0.2,-0.025
control@6000 (pooled),survived,40,0.1,0.025,0.2
control@6000 (pooled),collection_fraction,40,-0.2965,-0.419,-0.1743
halved-r1@2000,score,40,15.675,9,22.225
halved-r1@2000,kills,40,0,0,0
halved-r1@2000,self_kills,40,-0.025,-0.15,0.1
halved-r1@2000,survived,40,0.025,-0.1,0.15
halved-r1@2000,collection_fraction,40,0.3135,0.18,0.4445
halved-r1@4000,score,40,-21.575,-27.45,-15.6
halved-r1@4000,kills,40,0,0,0
halved-r1@4000,self_kills,40,-0.1,-0.2,-0.025
halved-r1@4000,survived,40,0.1,0.025,0.2
halved-r1@4000,collection_fraction,40,-0.4315,-0.549,-0.312
halved-r1@6000,score,40,19.85,13.45,26.275
halved-r1@6000,kills,40,0,0,0
halved-r1@6000,self_kills,40,-0.1,-0.2,-0.025
halved-r1@6000,survived,40,0.1,0.025,0.2
halved-r1@6000,collection_fraction,40,0.397,0.269,0.5255
halved-r2@2000,score,40,-0.975,-7.375,5.025
halved-r2@2000,kills,40,0,0,0
halved-r2@2000,self_kills,40,-0.1,-0.2,-0.025
halved-r2@2000,survived,40,0.1,0.025,0.2
halved-r2@2000,collection_fraction,40,-0.0195,-0.1475,0.1005
halved-r2@4000,score,40,-3.675,-10.775,2.8
halved-r2@4000,kills,40,0,0,0
halved-r2@4000,self_kills,40,-0.1,-0.2,-0.025
halved-r2@4000,survived,40,0.1,0.025,0.2
halved-r2@4000,collection_fraction,40,-0.0735,-0.2155,0.056
halved-r2@6000,score,40,14.375,7.925,20.625
halved-r2@6000,kills,40,0,0,0
halved-r2@6000,self_kills,40,-0.1,-0.2,-0.025
halved-r2@6000,survived,40,0.1,0.025,0.2
halved-r2@6000,collection_fraction,40,0.2875,0.1585,0.4125
halved-r3@2000,score,40,-2.15,-9.45,5.2
halved-r3@2000,kills,40,0,0,0
halved-r3@2000,self_kills,40,-0.025,-0.125,0.075
halved-r3@2000,survived,40,0.025,-0.075,0.125
halved-r3@2000,collection_fraction,40,-0.043,-0.189,0.104
halved-r3@4000,score,40,12.65,5.25,20.15
halved-r3@4000,kills,40,0,0,0
halved-r3@4000,self_kills,40,-0.075,-0.2,0.025
halved-r3@4000,survived,40,0.075,-0.025,0.2
halved-r3@4000,collection_fraction,40,0.253,0.105,0.403
halved-r3@6000,score,40,-8.925,-16.075,-1.65
halved-r3@6000,kills,40,0,0,0
halved-r3@6000,self_kills,40,-0.1,-0.2,-0.025
halved-r3@6000,survived,40,0.1,0.025,0.2
halved-r3@6000,collection_fraction,40,-0.1785,-0.3215,-0.033
halved@2000 (pooled),score,40,4.1833,-1.6,9.8583
halved@2000 (pooled),kills,40,0,0,0
halved@2000 (pooled),self_kills,40,-0.05,-0.1583,0.0417
halved@2000 (pooled),survived,40,0.05,-0.0417,0.1583
halved@2000 (pooled),collection_fraction,40,0.0837,-0.032,0.1972
halved@4000 (pooled),score,40,-4.2,-9.9667,1.575
halved@4000 (pooled),kills,40,0,0,0
halved@4000 (pooled),self_kills,40,-0.0917,-0.2,-0.0083
halved@4000 (pooled),survived,40,0.0917,0.0083,0.2
halved@4000 (pooled),collection_fraction,40,-0.084,-0.1993,0.0315
halved@6000 (pooled),score,40,8.4333,2.4583,14.4583
halved@6000 (pooled),kills,40,0,0,0
halved@6000 (pooled),self_kills,40,-0.1,-0.2,-0.025
halved@6000 (pooled),survived,40,0.1,0.025,0.2
halved@6000 (pooled),collection_fraction,40,0.1687,0.0492,0.2892
