artifact,arm,episode,games,score,kills,self_kills,survived,coins,collection_fraction,invalid
reference,reference,0,40,28.6,0,0.1,0.9,28.6,0.572,0
control-r1@2000,control,2000,40,15,0,0,1,15,0.3,0
control-r2@2000,control,2000,40,18.075,0,0,1,18.075,0.3615,0
control-r3@2000,control,2000,40,16.725,0,0,1,16.725,0.3345,0
halved-r1@2000,halved,2000,40,44.275,0,0.075,0.925,44.275,0.8855,0
halved-r2@2000,halved,2000,40,27.625,0,0,1,27.625,0.5525,0
halved-r3@2000,halved,2000,40,26.45,0,0.075,0.925,26.45,0.529,0
control-r1@4000,control,4000,40,16.675,0,0,1,16.675,0.3335,0
control-r2@4000,control,4000,40,17.75,0,0,1,17.75,0.355,0
control-r3@4000,control,4000,40,46.875,0,0,1,46.875,0.9375,0
halved-r1@4000,halved,4000,40,7.025,0,0,1,7.025,0.1405,0
halved-r2@4000,halved,4000,40,24.925,0,0,1,24.925,0.4985,0
halved-r3@4000,halved,4000,40,41.25,0,0.025,0.975,41.25,0.825,0
control-r1@6000,control,6000,40,13.6,0,0,1,13.6,0.272,0
control-r2@6000,control,6000,40,17.8,0,0,1,17.8,0.356,0
control-r3@6000,control,6000,40,9.925,0,0,1,9.925,0.1985,0
halved-r1@6000,halved,6000,40,48.45,0,0,1,48.45,0.969,0
halved-r2@6000,halved,6000,40,42.975,0,0,1,42.975,0.8595,0
halved-r3@6000,halved,6000,40,19.675,0,0,1,19.675,0.3935,0
control-r1@8000,control,8000,40,17.65,0,0,1,17.65,0.353,0
control-r2@8000,control,8000,40,31.5,0,0,1,31.5,0.63,0
control-r3@8000,control,8000,40,46.6,0,0,1,46.6,0.932,0
halved-r1@8000,halved,8000,40,48.575,0,0,1,48.575,0.9715,0
halved-r2@8000,halved,8000,40,14.425,0,0.175,0.825,14.425,0.2885,0
halved-r3@8000,halved,8000,40,13.9,0,0,1,13.9,0.278,0
