candidate,metric,worlds,mean_difference_vs_reference,ci95_low,ci95_high
control-r1@4000,score,100,1.42,0.8,2.04
control-r1@4000,kills,100,0.05,-0.04,0.14
control-r1@4000,self_kills,100,-0.06,-0.18,0.06
control-r1@4000,survived,100,0.06,-0.05,0.18
control-r1@4000,collection_fraction,100,0.13,0.0933,0.1678
control-r2@4000,score,100,0.99,0.35,1.6
control-r2@4000,kills,100,0.02,-0.06,0.1
control-r2@4000,self_kills,100,-0.16,-0.29,-0.03
control-r2@4000,survived,100,0.14,0.03,0.25
control-r2@4000,collection_fraction,100,0.0989,0.0544,0.1433
control-r3@4000,score,100,1.44,0.81,2.05
control-r3@4000,kills,100,0.04,-0.04,0.13
control-r3@4000,self_kills,100,-0.12,-0.23,0
control-r3@4000,survived,100,0.04,-0.07,0.15
control-r3@4000,collection_fraction,100,0.1378,0.1,0.1744
control@4000 (pooled),score,100,1.2833,0.7567,1.7767
control@4000 (pooled),kills,100,0.0367,-0.0333,0.1
control@4000 (pooled),self_kills,100,-0.1133,-0.21,-0.0167
control@4000 (pooled),survived,100,0.08,-0.0067,0.1667
control@4000 (pooled),collection_fraction,100,0.1222,0.09,0.1537
halved-r1@4000,score,100,1.05,0.49,1.57
halved-r1@4000,kills,100,-0.03,-0.1,0.03
halved-r1@4000,self_kills,100,-0.19,-0.32,-0.06
halved-r1@4000,survived,100,0.2,0.07,0.33
halved-r1@4000,collection_fraction,100,0.1333,0.0911,0.1733
halved-r2@4000,score,100,1.02,0.4,1.64
halved-r2@4000,kills,100,0.01,-0.08,0.1
halved-r2@4000,self_kills,100,-0.21,-0.34,-0.08
halved-r2@4000,survived,100,0.2,0.08,0.32
halved-r2@4000,collection_fraction,100,0.1078,0.0711,0.1433
halved-r3@4000,score,100,1.04,0.45,1.6
halved-r3@4000,kills,100,0.01,-0.07,0.08
halved-r3@4000,self_kills,100,-0.16,-0.28,-0.03
halved-r3@4000,survived,100,0.14,0.02,0.26
halved-r3@4000,collection_fraction,100,0.11,0.0733,0.1467
halved@4000 (pooled),score,100,1.0367,0.4967,1.5133
halved@4000 (pooled),kills,100,-0.0033,-0.07,0.0533
halved@4000 (pooled),self_kills,100,-0.1867,-0.29,-0.0833
halved@4000 (pooled),survived,100,0.18,0.0833,0.2733
halved@4000 (pooled),collection_fraction,100,0.117,0.0841,0.1493
