candidate,metric,worlds,mean_difference_vs_reference,ci95_low,ci95_high
control-r1@4000,score,100,1.19,0.73,1.65
control-r1@4000,kills,100,0.04,-0.02,0.1
control-r1@4000,self_kills,100,-0.13,-0.25,0
control-r1@4000,survived,100,0.05,-0.06,0.16
control-r1@4000,collection_fraction,100,0.11,0.0722,0.1467
control-r2@4000,score,100,1.09,0.56,1.64
control-r2@4000,kills,100,0.09,0.01,0.17
control-r2@4000,self_kills,100,-0.13,-0.24,-0.01
control-r2@4000,survived,100,0.12,0.01,0.23
control-r2@4000,collection_fraction,100,0.0711,0.0278,0.1133
control-r3@4000,score,100,1.28,0.74,1.88
control-r3@4000,kills,100,0.07,-0.01,0.16
control-r3@4000,self_kills,100,-0.18,-0.31,-0.05
control-r3@4000,survived,100,0.04,-0.07,0.15
control-r3@4000,collection_fraction,100,0.1033,0.0667,0.14
control@4000 (pooled),score,100,1.1867,0.79,1.58
control@4000 (pooled),kills,100,0.0667,0.0167,0.1167
control@4000 (pooled),self_kills,100,-0.1467,-0.24,-0.05
control@4000 (pooled),survived,100,0.07,-0.02,0.1533
control@4000 (pooled),collection_fraction,100,0.0948,0.0626,0.1259
halved-r1@4000,score,100,1.68,1.08,2.28
halved-r1@4000,kills,100,0.11,0.03,0.19
halved-r1@4000,self_kills,100,-0.3,-0.43,-0.17
halved-r1@4000,survived,100,0.26,0.14,0.37
halved-r1@4000,collection_fraction,100,0.1256,0.0833,0.1678
halved-r2@4000,score,100,1.12,0.62,1.61
halved-r2@4000,kills,100,0.05,-0.01,0.12
halved-r2@4000,self_kills,100,-0.3,-0.43,-0.17
halved-r2@4000,survived,100,0.21,0.1,0.32
halved-r2@4000,collection_fraction,100,0.0967,0.0589,0.1333
halved-r3@4000,score,100,0.97,0.48,1.46
halved-r3@4000,kills,100,0.04,-0.02,0.1
halved-r3@4000,self_kills,100,-0.1,-0.22,0.02
halved-r3@4000,survived,100,0.05,-0.07,0.17
halved-r3@4000,collection_fraction,100,0.0856,0.0489,0.1211
halved@4000 (pooled),score,100,1.2567,0.8533,1.6433
halved@4000 (pooled),kills,100,0.0667,0.0167,0.1133
halved@4000 (pooled),self_kills,100,-0.2333,-0.3333,-0.1267
halved@4000 (pooled),survived,100,0.1733,0.0867,0.2567
halved@4000 (pooled),collection_fraction,100,0.1026,0.07,0.1341
