artifact,arm,episode,games,score,kills,self_kills,survived,coins,collection_fraction,invalid
reference,reference,0,250,2.876,0.112,0.612,0.352,2.316,0.2573,1.064
control-r1@6000,control,6000,250,3.148,0.128,0.444,0.492,2.508,0.2787,1.332
control-r2@6000,control,6000,250,3.156,0.092,0.504,0.428,2.696,0.2996,1.22
control-r3@6000,control,6000,250,3.168,0.1,0.496,0.452,2.668,0.2964,1.748
halved-r1@6000,halved,6000,250,3.344,0.152,0.568,0.368,2.584,0.2871,1.388
halved-r2@6000,halved,6000,250,2.992,0.108,0.552,0.38,2.452,0.2724,1.244
halved-r3@6000,halved,6000,250,3.08,0.108,0.5,0.448,2.54,0.2822,1.388
control-r1@8000,control,8000,250,3.284,0.124,0.508,0.424,2.664,0.296,1.544
control-r2@8000,control,8000,250,3.196,0.104,0.496,0.46,2.676,0.2973,1.452
control-r3@8000,control,8000,250,3.152,0.108,0.516,0.42,2.612,0.2902,1.668
halved-r1@8000,halved,8000,250,3.376,0.148,0.48,0.408,2.636,0.2929,1.624
halved-r2@8000,halved,8000,250,3.136,0.092,0.544,0.4,2.676,0.2973,1.376
halved-r3@8000,halved,8000,250,3.044,0.108,0.548,0.356,2.504,0.2782,1.464
