candidate,metric,worlds,mean_difference_vs_reference,ci95_low,ci95_high
control-r1@6000,score,250,0.98,0.612,1.344
control-r1@6000,kills,250,0.04,-0.008,0.088
control-r1@6000,self_kills,250,-0.2,-0.288,-0.116
control-r1@6000,survived,250,0.128,0.048,0.208
control-r1@6000,collection_fraction,250,0.0867,0.06,0.1138
control-r1@8000,score,250,1.364,0.964,1.78
control-r1@8000,kills,250,0.092,0.032,0.152
control-r1@8000,self_kills,250,-0.28,-0.36,-0.196
control-r1@8000,survived,250,0.224,0.148,0.3
control-r1@8000,collection_fraction,250,0.1004,0.076,0.1253
control-r2@6000,score,250,1.364,1.008,1.744
control-r2@6000,kills,250,0.08,0.024,0.136
control-r2@6000,self_kills,250,-0.204,-0.288,-0.12
control-r2@6000,survived,250,0.16,0.08,0.236
control-r2@6000,collection_fraction,250,0.1071,0.0822,0.132
control-r2@8000,score,250,1.232,0.84,1.62
control-r2@8000,kills,250,0.048,-0.004,0.1
control-r2@8000,self_kills,250,-0.224,-0.304,-0.144
control-r2@8000,survived,250,0.208,0.132,0.284
control-r2@8000,collection_fraction,250,0.1102,0.084,0.1364
control-r3@6000,score,250,1.472,1.088,1.908
control-r3@6000,kills,250,0.068,0.012,0.128
control-r3@6000,self_kills,250,-0.248,-0.332,-0.164
control-r3@6000,survived,250,0.204,0.124,0.284
control-r3@6000,collection_fraction,250,0.1258,0.1027,0.1502
control-r3@8000,score,250,1.38,1.008,1.764
control-r3@8000,kills,250,0.056,0.008,0.108
control-r3@8000,self_kills,250,-0.196,-0.276,-0.116
control-r3@8000,survived,250,0.028,-0.048,0.104
control-r3@8000,collection_fraction,250,0.1222,0.0973,0.1484
control@6000 (pooled),score,250,1.272,0.9693,1.5787
control@6000 (pooled),kills,250,0.0627,0.0213,0.1027
control@6000 (pooled),self_kills,250,-0.2173,-0.2853,-0.1493
control@6000 (pooled),survived,250,0.164,0.1,0.2267
control@6000 (pooled),collection_fraction,250,0.1065,0.0859,0.1277
control@8000 (pooled),score,250,1.3253,1.02,1.6267
control@8000 (pooled),kills,250,0.0653,0.024,0.1053
control@8000 (pooled),self_kills,250,-0.2333,-0.2973,-0.1693
control@8000 (pooled),survived,250,0.1533,0.0933,0.2133
control@8000 (pooled),collection_fraction,250,0.111,0.0907,0.1316
halved-r1@6000,score,250,1.244,0.864,1.632
halved-r1@6000,kills,250,0.064,0.012,0.12
halved-r1@6000,self_kills,250,-0.148,-0.232,-0.068
halved-r1@6000,survived,250,0.072,-0.004,0.148
halved-r1@6000,collection_fraction,250,0.1027,0.0796,0.1262
halved-r1@8000,score,250,1.424,1.06,1.792
halved-r1@8000,kills,250,0.072,0.016,0.128
halved-r1@8000,self_kills,250,-0.22,-0.304,-0.14
halved-r1@8000,survived,250,0.172,0.092,0.252
halved-r1@8000,collection_fraction,250,0.1182,0.0933,0.1422
halved-r2@6000,score,250,0.976,0.628,1.324
halved-r2@6000,kills,250,0.036,-0.016,0.088
halved-r2@6000,self_kills,250,-0.22,-0.304,-0.136
halved-r2@6000,survived,250,0.168,0.088,0.248
halved-r2@6000,collection_fraction,250,0.0884,0.0644,0.1124
halved-r2@8000,score,250,1.3,0.936,1.676
halved-r2@8000,kills,250,0.068,0.016,0.124
halved-r2@8000,self_kills,250,-0.192,-0.272,-0.112
halved-r2@8000,survived,250,0.192,0.116,0.268
halved-r2@8000,collection_fraction,250,0.1067,0.0818,0.132
halved-r3@6000,score,250,1.304,0.936,1.688
halved-r3@6000,kills,250,0.04,-0.012,0.092
halved-r3@6000,self_kills,250,-0.22,-0.304,-0.14
halved-r3@6000,survived,250,0.196,0.12,0.276
halved-r3@6000,collection_fraction,250,0.1227,0.0982,0.1471
halved-r3@8000,score,250,1.36,0.988,1.748
halved-r3@8000,kills,250,0.072,0.02,0.124
halved-r3@8000,self_kills,250,-0.212,-0.296,-0.128
halved-r3@8000,survived,250,0.176,0.096,0.26
halved-r3@8000,collection_fraction,250,0.1111,0.0853,0.1378
halved@6000 (pooled),score,250,1.1747,0.8773,1.464
halved@6000 (pooled),kills,250,0.0467,0.0053,0.084
halved@6000 (pooled),self_kills,250,-0.196,-0.2627,-0.1293
halved@6000 (pooled),survived,250,0.1453,0.084,0.2067
halved@6000 (pooled),collection_fraction,250,0.1046,0.0843,0.1241
halved@8000 (pooled),score,250,1.3613,1.064,1.6507
halved@8000 (pooled),kills,250,0.0707,0.0293,0.1093
halved@8000 (pooled),self_kills,250,-0.208,-0.276,-0.14
halved@8000 (pooled),survived,250,0.18,0.1147,0.244
halved@8000 (pooled),collection_fraction,250,0.112,0.0917,0.1329
