artifact,arm,episode,games,score,kills,self_kills,survived,coins,collection_fraction,invalid
reference,reference,0,250,1.872,0.06,0.724,0.224,1.572,0.1747,0.404
control-r1@6000,control,6000,250,2.852,0.1,0.524,0.352,2.352,0.2613,1.132
control-r2@6000,control,6000,250,3.236,0.14,0.52,0.384,2.536,0.2818,1.304
control-r3@6000,control,6000,250,3.344,0.128,0.476,0.428,2.704,0.3004,1.8
halved-r1@6000,halved,6000,250,3.116,0.124,0.576,0.296,2.496,0.2773,1.224
halved-r2@6000,halved,6000,250,2.848,0.096,0.504,0.392,2.368,0.2631,1.372
halved-r3@6000,halved,6000,250,3.176,0.1,0.504,0.42,2.676,0.2973,1.288
control-r1@8000,control,8000,250,3.236,0.152,0.444,0.448,2.476,0.2751,1.572
control-r2@8000,control,8000,250,3.104,0.108,0.5,0.432,2.564,0.2849,1.356
control-r3@8000,control,8000,250,3.252,0.116,0.528,0.252,2.672,0.2969,1.408
halved-r1@8000,halved,8000,250,3.296,0.132,0.504,0.396,2.636,0.2929,1.44
halved-r2@8000,halved,8000,250,3.172,0.128,0.532,0.416,2.532,0.2813,1.288
halved-r3@8000,halved,8000,250,3.232,0.132,0.512,0.4,2.572,0.2858,1.584
