candidate,metric,worlds,mean_difference_vs_reference,ci95_low,ci95_high
control-r1@2000,score,120,0.8583,0.3083,1.4
control-r1@2000,kills,120,0.05,-0.025,0.125
control-r1@2000,self_kills,120,-0.1917,-0.3083,-0.0667
control-r1@2000,survived,120,0.175,0.0583,0.2917
control-r1@2000,collection_fraction,120,0.0676,0.0352,0.1009
control-r1@4000,score,120,1.1,0.5333,1.6583
control-r1@4000,kills,120,0.0333,-0.05,0.1167
control-r1@4000,self_kills,120,-0.1167,-0.2333,0.0083
control-r1@4000,survived,120,0.0833,-0.0333,0.2
control-r1@4000,collection_fraction,120,0.1037,0.0657,0.1426
control-r1@6000,score,120,0.9917,0.4833,1.4917
control-r1@6000,kills,120,0.0167,-0.0583,0.0833
control-r1@6000,self_kills,120,-0.275,-0.4,-0.15
control-r1@6000,survived,120,0.1667,0.0417,0.2917
control-r1@6000,collection_fraction,120,0.1009,0.0667,0.1343
control-r2@2000,score,120,1.1167,0.5667,1.65
control-r2@2000,kills,120,0.0583,-0.025,0.1417
control-r2@2000,self_kills,120,-0.15,-0.2583,-0.0333
control-r2@2000,survived,120,0.025,-0.075,0.1333
control-r2@2000,collection_fraction,120,0.0917,0.0556,0.1259
control-r2@4000,score,120,0.65,0.1417,1.15
control-r2@4000,kills,120,0.025,-0.05,0.1
control-r2@4000,self_kills,120,-0.125,-0.2333,-0.0167
control-r2@4000,survived,120,0.125,0.0167,0.2333
control-r2@4000,collection_fraction,120,0.0583,0.0241,0.0926
control-r2@6000,score,120,1.65,1.1083,2.225
control-r2@6000,kills,120,0.1,0.0167,0.1917
control-r2@6000,self_kills,120,-0.2417,-0.3583,-0.125
control-r2@6000,survived,120,0.175,0.0667,0.275
control-r2@6000,collection_fraction,120,0.1278,0.0935,0.162
control-r3@2000,score,120,1.0667,0.5583,1.6
control-r3@2000,kills,120,0.0417,-0.025,0.1167
control-r3@2000,self_kills,120,-0.2333,-0.35,-0.1167
control-r3@2000,survived,120,0.1083,0.0083,0.2083
control-r3@2000,collection_fraction,120,0.0954,0.0611,0.1287
control-r3@4000,score,120,1.325,0.825,1.7917
control-r3@4000,kills,120,0.0917,0.0167,0.1667
control-r3@4000,self_kills,120,-0.1583,-0.275,-0.0417
control-r3@4000,survived,120,0.0333,-0.075,0.1417
control-r3@4000,collection_fraction,120,0.0963,0.0611,0.1315
control-r3@6000,score,120,1.0583,0.6167,1.4917
control-r3@6000,kills,120,0.025,-0.0417,0.0917
control-r3@6000,self_kills,120,-0.1583,-0.2667,-0.05
control-r3@6000,survived,120,0.1417,0.0417,0.25
