artifact,arm,episode,games,score,kills,self_kills,survived,coins,collection_fraction,invalid
reference,reference,0,120,1.9333,0.0667,0.7083,0.2417,1.6,0.1778,0.6833
control-r1@2000,control,2000,120,2.7917,0.1167,0.5167,0.4167,2.2083,0.2454,0.9667
control-r2@2000,control,2000,120,3.05,0.125,0.5583,0.2667,2.425,0.2694,1.1333
control-r3@2000,control,2000,120,3,0.1083,0.475,0.35,2.4583,0.2731,1.2667
halved-r1@2000,halved,2000,120,2.7167,0.0667,0.525,0.4583,2.3833,0.2648,1.1083
halved-r2@2000,halved,2000,120,2.9917,0.0917,0.3667,0.5167,2.5333,0.2815,1.275
halved-r3@2000,halved,2000,120,2.8167,0.0917,0.525,0.425,2.3583,0.262,1.3917
control-r1@4000,control,4000,120,3.0333,0.1,0.5917,0.325,2.5333,0.2815,1.075
control-r2@4000,control,4000,120,2.5833,0.0917,0.5833,0.3667,2.125,0.2361,0.9583
control-r3@4000,control,4000,120,3.2583,0.1583,0.55,0.275,2.4667,0.2741,0.9667
halved-r1@4000,halved,4000,120,3.3583,0.125,0.4833,0.4583,2.7333,0.3037,0.9917
halved-r2@4000,halved,4000,120,2.75,0.0833,0.4917,0.3917,2.3333,0.2593,1.2833
halved-r3@4000,halved,4000,120,3.7,0.2,0.4583,0.425,2.7,0.3,1.825
control-r1@6000,control,6000,120,2.925,0.0833,0.4333,0.4083,2.5083,0.2787,1.1917
control-r2@6000,control,6000,120,3.5833,0.1667,0.4667,0.4167,2.75,0.3056,1.3083
control-r3@6000,control,6000,120,2.9917,0.0917,0.55,0.3833,2.5333,0.2815,1.4833
halved-r1@6000,halved,6000,120,3.2833,0.1417,0.4583,0.45,2.575,0.2861,1.2333
halved-r2@6000,halved,6000,120,3.075,0.0833,0.3917,0.4833,2.6583,0.2954,1.4667
halved-r3@6000,halved,6000,120,2.8417,0.0667,0.4667,0.4417,2.5083,0.2787,1.425
