candidate,metric,worlds,mean_difference_vs_reference,ci95_low,ci95_high
control-r1@2000,score,120,-0.2083,-0.7333,0.3
control-r1@2000,kills,120,-0.0417,-0.125,0.0417
control-r1@2000,self_kills,120,-0.175,-0.2917,-0.05
control-r1@2000,survived,120,0.1417,0.0167,0.2583
control-r1@2000,collection_fraction,120,-0.0,-0.0306,0.0315
control-r1@4000,score,120,0.475,-0.1167,1.075
control-r1@4000,kills,120,0.0417,-0.0583,0.1417
control-r1@4000,self_kills,120,-0.075,-0.2,0.0583
control-r1@4000,survived,120,0.0667,-0.0583,0.1917
control-r1@4000,collection_fraction,120,0.0296,-0.0046,0.0639
control-r1@6000,score,120,0.4083,-0.1083,0.9417
control-r1@6000,kills,120,0.0083,-0.075,0.0917
control-r1@6000,self_kills,120,-0.175,-0.3,-0.05
control-r1@6000,survived,120,0.1417,0.0167,0.2667
control-r1@6000,collection_fraction,120,0.0407,0.0111,0.0704
control-r2@2000,score,120,0.325,-0.2167,0.8833
control-r2@2000,kills,120,-0.0083,-0.0917,0.0833
control-r2@2000,self_kills,120,-0.1917,-0.3167,-0.0583
control-r2@2000,survived,120,0.1417,0.0083,0.275
control-r2@2000,collection_fraction,120,0.0407,0.0083,0.0722
control-r2@4000,score,120,-0.0833,-0.7,0.5333
control-r2@4000,kills,120,0,-0.0917,0.0917
control-r2@4000,self_kills,120,-0.0667,-0.2,0.0667
control-r2@4000,survived,120,0.0583,-0.0667,0.1833
control-r2@4000,collection_fraction,120,-0.0093,-0.0444,0.0269
control-r2@6000,score,120,0.525,-0.0667,1.1167
control-r2@6000,kills,120,0.025,-0.075,0.1333
control-r2@6000,self_kills,120,-0.2,-0.325,-0.075
control-r2@6000,survived,120,0.1583,0.025,0.2917
control-r2@6000,collection_fraction,120,0.0444,0.0148,0.075
control-r3@2000,score,120,-0.1833,-0.6833,0.3417
control-r3@2000,kills,120,-0.0333,-0.1167,0.05
control-r3@2000,self_kills,120,-0.075,-0.2,0.0417
control-r3@2000,survived,120,0,-0.125,0.125
control-r3@2000,collection_fraction,120,-0.0019,-0.0333,0.0306
control-r3@4000,score,120,-0.2583,-0.7667,0.2667
control-r3@4000,kills,120,-0.05,-0.1333,0.0333
control-r3@4000,self_kills,120,-0.1583,-0.2917,-0.025
control-r3@4000,survived,120,0.1333,0,0.2667
control-r3@4000,collection_fraction,120,-0.0009,-0.0324,0.0315
control-r3@6000,score,120,0.0583,-0.4167,0.5333
control-r3@6000,kills,120,-0.025,-0.1,0.05
control-r3@6000,self_kills,120,-0.1,-0.225,0.025
control-r3@6000,survived,120,0.1,-0.025,0.2167
control-r3@6000,collection_fraction,120,0.0204,-0.0093,0.0491
control@2000 (pooled),score,120,-0.0222,-0.4611,0.4
control@2000 (pooled),kills,120,-0.0278,-0.0972,0.0389
control@2000 (pooled),self_kills,120,-0.1472,-0.2472,-0.0444
control@2000 (pooled),survived,120,0.0944,-0.0111,0.1944
control@2000 (pooled),collection_fraction,120,0.013,-0.013,0.038
control@4000 (pooled),score,120,0.0444,-0.425,0.4944
control@4000 (pooled),kills,120,-0.0028,-0.0833,0.0722
control@4000 (pooled),self_kills,120,-0.1,-0.2111,0.0083
control@4000 (pooled),survived,120,0.0861,-0.0222,0.1944
control@4000 (pooled),collection_fraction,120,0.0065,-0.021,0.0333
control@6000 (pooled),score,120,0.3306,-0.0917,0.7389
control@6000 (pooled),kills,120,0.0028,-0.0722,0.0722
control@6000 (pooled),self_kills,120,-0.1583,-0.2611,-0.0556
control@6000 (pooled),survived,120,0.1333,0.0333,0.2333
control@6000 (pooled),collection_fraction,120,0.0352,0.0111,0.0593
halved-r1@2000,score,120,0.1333,-0.4167,0.7083
halved-r1@2000,kills,120,-0.0083,-0.1,0.0833
