artifact,arm,episode,games,score,kills,self_kills,survived,coins,collection_fraction,invalid
reference,reference,0,120,3.0417,0.125,0.6167,0.35,2.4167,0.2685,1.0167
control-r1@2000,control,2000,120,2.8333,0.0833,0.4417,0.4917,2.4167,0.2685,1.3083
control-r2@2000,control,2000,120,3.3667,0.1167,0.425,0.4917,2.7833,0.3093,1.5667
control-r3@2000,control,2000,120,2.8583,0.0917,0.5417,0.35,2.4,0.2667,1.4417
halved-r1@2000,halved,2000,120,3.175,0.1167,0.5,0.4833,2.5917,0.288,1.3417
halved-r2@2000,halved,2000,120,3.0333,0.1167,0.4583,0.4333,2.45,0.2722,1.2
halved-r3@2000,halved,2000,120,2.825,0.0833,0.4667,0.4583,2.4083,0.2676,1.2083
control-r1@4000,control,4000,120,3.5167,0.1667,0.5417,0.4167,2.6833,0.2981,1.4667
control-r2@4000,control,4000,120,2.9583,0.125,0.55,0.4083,2.3333,0.2593,1.2917
control-r3@4000,control,4000,120,2.7833,0.075,0.4583,0.4833,2.4083,0.2676,1.25
halved-r1@4000,halved,4000,120,3.3583,0.1667,0.5083,0.4083,2.525,0.2806,1.1667
halved-r2@4000,halved,4000,120,3.2,0.1083,0.4667,0.475,2.6583,0.2954,1.325
halved-r3@4000,halved,4000,120,3.35,0.15,0.5167,0.4083,2.6,0.2889,1.6667
control-r1@6000,control,6000,120,3.45,0.1333,0.4417,0.4917,2.7833,0.3093,1.3417
control-r2@6000,control,6000,120,3.5667,0.15,0.4167,0.5083,2.8167,0.313,1.375
control-r3@6000,control,6000,120,3.1,0.1,0.5167,0.45,2.6,0.2889,1.975
halved-r1@6000,halved,6000,120,3.5417,0.15,0.5083,0.425,2.7917,0.3102,1.5417
halved-r2@6000,halved,6000,120,2.8833,0.0667,0.4583,0.5,2.55,0.2833,1.6167
halved-r3@6000,halved,6000,120,3.075,0.0917,0.525,0.4083,2.6167,0.2907,1.4833
