candidate,metric,worlds,mean_difference_vs_reference,ci95_low,ci95_high
control-r1@2000,score,120,0.75,0.2417,1.275
control-r1@2000,kills,120,0.0417,-0.025,0.1083
control-r1@2000,self_kills,120,-0.2333,-0.3583,-0.1083
control-r1@2000,survived,120,0.2583,0.15,0.375
control-r1@2000,collection_fraction,120,0.0602,0.025,0.0963
control-r1@4000,score,120,1.4583,0.9583,1.975
control-r1@4000,kills,120,0.075,0.0083,0.1417
control-r1@4000,self_kills,120,-0.2167,-0.325,-0.1
control-r1@4000,survived,120,0.2333,0.125,0.3417
control-r1@4000,collection_fraction,120,0.1204,0.0843,0.1583
control-r1@6000,score,120,1.3167,0.8083,1.8583
control-r1@6000,kills,120,0.0833,0.0167,0.15
control-r1@6000,self_kills,120,-0.225,-0.3417,-0.1
control-r1@6000,survived,120,0.1583,0.0417,0.275
control-r1@6000,collection_fraction,120,0.1,0.0639,0.138
control-r2@2000,score,120,1.55,1.0333,2.075
control-r2@2000,kills,120,0.1167,0.05,0.1917
control-r2@2000,self_kills,120,-0.2417,-0.3667,-0.1167
control-r2@2000,survived,120,0.1417,0.025,0.2583
control-r2@2000,collection_fraction,120,0.1074,0.0713,0.1435
control-r2@4000,score,120,0.5917,0.1083,1.0917
control-r2@4000,kills,120,0.0167,-0.0417,0.075
control-r2@4000,self_kills,120,-0.1583,-0.275,-0.0417
control-r2@4000,survived,120,0.1417,0.0333,0.25
control-r2@4000,collection_fraction,120,0.0565,0.0139,0.0991
control-r2@6000,score,120,1.3167,0.8333,1.8167
control-r2@6000,kills,120,0.0583,-0.0083,0.125
control-r2@6000,self_kills,120,-0.3167,-0.4333,-0.1917
control-r2@6000,survived,120,0.25,0.1417,0.3667
control-r2@6000,collection_fraction,120,0.1139,0.0796,0.1491
control-r3@2000,score,120,1.1083,0.6167,1.6
control-r3@2000,kills,120,0.05,-0.0167,0.1167
control-r3@2000,self_kills,120,-0.2,-0.3167,-0.075
control-r3@2000,survived,120,0.175,0.0583,0.2917
control-r3@2000,collection_fraction,120,0.0954,0.0602,0.1306
control-r3@4000,score,120,1.55,0.9833,2.1167
control-r3@4000,kills,120,0.15,0.0667,0.2333
control-r3@4000,self_kills,120,-0.225,-0.3333,-0.1083
control-r3@4000,survived,120,0.075,-0.025,0.175
control-r3@4000,collection_fraction,120,0.0889,0.0537,0.125
control-r3@6000,score,120,1.2417,0.7,1.7917
control-r3@6000,kills,120,0.0667,0,0.1417
control-r3@6000,self_kills,120,-0.25,-0.375,-0.125
control-r3@6000,survived,120,0.2333,0.1167,0.35
control-r3@6000,collection_fraction,120,0.1009,0.0648,0.138
control@2000 (pooled),score,120,1.1361,0.7361,1.5278
control@2000 (pooled),kills,120,0.0694,0.0194,0.1139
control@2000 (pooled),self_kills,120,-0.225,-0.3222,-0.125
control@2000 (pooled),survived,120,0.1917,0.0972,0.2833
control@2000 (pooled),collection_fraction,120,0.0877,0.0586,0.1164
control@4000 (pooled),score,120,1.2,0.8083,1.5917
control@4000 (pooled),kills,120,0.0806,0.0306,0.1278
control@4000 (pooled),self_kills,120,-0.2,-0.2889,-0.1083
control@4000 (pooled),survived,120,0.15,0.0639,0.2333
control@4000 (pooled),collection_fraction,120,0.0886,0.0574,0.1204
control@6000 (pooled),score,120,1.2917,0.8833,1.6944
control@6000 (pooled),kills,120,0.0694,0.0194,0.1194
control@6000 (pooled),self_kills,120,-0.2639,-0.3611,-0.1667
control@6000 (pooled),survived,120,0.2139,0.125,0.3056
control@6000 (pooled),collection_fraction,120,0.1049,0.0762,0.1346
halved-r1@2000,score,120,1.25,0.7167,1.7917
halved-r1@2000,kills,120,0.0917,0.0167,0.1667
halved-r1@2000,self_kills,120,-0.1917,-0.3083,-0.0833
halved-r1@2000,survived,120,0.1917,0.075,0.3083
