artifact,arm,episode,games,score,kills,self_kills,survived,coins,collection_fraction,invalid
reference,reference,0,120,1.85,0.0417,0.75,0.1917,1.6417,0.1824,0.6083
control-r1@2000,control,2000,120,2.6,0.0833,0.5167,0.45,2.1833,0.2426,1.55
control-r2@2000,control,2000,120,3.4,0.1583,0.5083,0.3333,2.6083,0.2898,1.6917
control-r3@2000,control,2000,120,2.9583,0.0917,0.55,0.3667,2.5,0.2778,1.6167
halved-r1@2000,halved,2000,120,3.1,0.1333,0.5583,0.3833,2.4333,0.2704,1.1667
halved-r2@2000,halved,2000,120,2.9,0.0917,0.4583,0.4167,2.4417,0.2713,1.3917
halved-r3@2000,halved,2000,120,2.625,0.0583,0.55,0.3667,2.3333,0.2593,1.225
control-r1@4000,control,4000,120,3.3083,0.1167,0.5333,0.425,2.725,0.3028,1.125
control-r2@4000,control,4000,120,2.4417,0.0583,0.5917,0.3333,2.15,0.2389,0.9417
control-r3@4000,control,4000,120,3.4,0.1917,0.525,0.2667,2.4417,0.2713,1.1167
halved-r1@4000,halved,4000,120,2.9167,0.0833,0.5417,0.3583,2.5,0.2778,0.8333
halved-r2@4000,halved,4000,120,2.775,0.075,0.525,0.4,2.4,0.2667,0.975
halved-r3@4000,halved,4000,120,2.8,0.0833,0.5417,0.3583,2.3833,0.2648,1.5667
control-r1@6000,control,6000,120,3.1667,0.125,0.525,0.35,2.5417,0.2824,1.15
control-r2@6000,control,6000,120,3.1667,0.1,0.4333,0.4417,2.6667,0.2963,1.5333
control-r3@6000,control,6000,120,3.0917,0.1083,0.5,0.425,2.55,0.2833,1.5
halved-r1@6000,halved,6000,120,3.2,0.1583,0.6333,0.325,2.4083,0.2676,1.1
halved-r2@6000,halved,6000,120,2.8333,0.0917,0.4833,0.425,2.375,0.2639,0.95
halved-r3@6000,halved,6000,120,2.8833,0.0583,0.5583,0.3917,2.5917,0.288,1.2333
