candidate,metric,worlds,mean_difference_vs_reference,ci95_low,ci95_high
control-r1@2000,score,120,0.1,-0.475,0.6833
control-r1@2000,kills,120,0.0667,-0.0167,0.15
control-r1@2000,self_kills,120,-0.1417,-0.2667,-0.0167
control-r1@2000,survived,120,0.1,-0.025,0.2167
control-r1@2000,collection_fraction,120,-0.0259,-0.0639,0.013
control-r1@4000,score,120,0.2333,-0.2833,0.7833
control-r1@4000,kills,120,0.0417,-0.0333,0.1167
control-r1@4000,self_kills,120,0.0083,-0.1083,0.125
control-r1@4000,survived,120,-0.025,-0.1417,0.0917
control-r1@4000,collection_fraction,120,0.0028,-0.0361,0.0417
control-r1@6000,score,120,0.65,0.1167,1.2
control-r1@6000,kills,120,0.075,-0.0083,0.1583
control-r1@6000,self_kills,120,-0.2,-0.3167,-0.075
control-r1@6000,survived,120,0.1667,0.0333,0.2917
control-r1@6000,collection_fraction,120,0.0306,-0.0056,0.0676
control-r2@2000,score,120,0.3917,-0.0833,0.8917
control-r2@2000,kills,120,0.05,-0.025,0.1333
control-r2@2000,self_kills,120,-0.175,-0.3,-0.0417
control-r2@2000,survived,120,0.0583,-0.0667,0.175
control-r2@2000,collection_fraction,120,0.0157,-0.0176,0.0481
control-r2@4000,score,120,0.2667,-0.3,0.85
control-r2@4000,kills,120,0.0667,-0.0083,0.1417
control-r2@4000,self_kills,120,-0.075,-0.1917,0.0417
control-r2@4000,survived,120,0.05,-0.0667,0.1583
control-r2@4000,collection_fraction,120,-0.0074,-0.0491,0.0352
control-r2@6000,score,120,0.2667,-0.225,0.7417
control-r2@6000,kills,120,0,-0.0667,0.0667
control-r2@6000,self_kills,120,-0.2417,-0.35,-0.1333
control-r2@6000,survived,120,0.2167,0.1083,0.325
control-r2@6000,collection_fraction,120,0.0296,-0.0037,0.0648
control-r3@2000,score,120,0.0667,-0.4417,0.55
control-r3@2000,kills,120,0.0167,-0.05,0.0917
control-r3@2000,self_kills,120,-0.175,-0.2917,-0.0583
control-r3@2000,survived,120,0.0833,-0.0333,0.2
control-r3@2000,collection_fraction,120,-0.0019,-0.0361,0.0324
control-r3@4000,score,120,0.1083,-0.4167,0.6417
control-r3@4000,kills,120,0.0333,-0.0417,0.1083
control-r3@4000,self_kills,120,-0.025,-0.1417,0.1
control-r3@4000,survived,120,-0.0083,-0.125,0.1083
control-r3@4000,collection_fraction,120,-0.0065,-0.0407,0.0278
control-r3@6000,score,120,0.125,-0.375,0.6083
control-r3@6000,kills,120,0.025,-0.0417,0.1
control-r3@6000,self_kills,120,-0.1083,-0.2333,0.0167
control-r3@6000,survived,120,0.075,-0.05,0.2
control-r3@6000,collection_fraction,120,-0.0,-0.0333,0.0361
control@2000 (pooled),score,120,0.1861,-0.2167,0.5722
control@2000 (pooled),kills,120,0.0444,-0.0139,0.1028
control@2000 (pooled),self_kills,120,-0.1639,-0.2639,-0.0639
control@2000 (pooled),survived,120,0.0806,-0.0194,0.1778
control@2000 (pooled),collection_fraction,120,-0.004,-0.0321,0.0241
control@4000 (pooled),score,120,0.2028,-0.2222,0.6278
control@4000 (pooled),kills,120,0.0472,-0.0111,0.1028
control@4000 (pooled),self_kills,120,-0.0306,-0.1278,0.0694
control@4000 (pooled),survived,120,0.0056,-0.0889,0.0972
control@4000 (pooled),collection_fraction,120,-0.0037,-0.0336,0.0275
control@6000 (pooled),score,120,0.3472,-0.0667,0.7444
control@6000 (pooled),kills,120,0.0333,-0.025,0.0889
control@6000 (pooled),self_kills,120,-0.1833,-0.2778,-0.0861
control@6000 (pooled),survived,120,0.1528,0.05,0.2528
control@6000 (pooled),collection_fraction,120,0.0201,-0.0077,0.0494
halved-r1@2000,score,120,0.25,-0.3,0.8083
halved-r1@2000,kills,120,0.025,-0.05,0.1
halved-r1@2000,self_kills,120,-0.175,-0.3,-0.05
halved-r1@2000,survived,120,0.1333,0.0083,0.2583
halved-r1@2000,collection_fraction,120,0.0139,-0.0231,0.0519
halved-r1@4000,score,120,0.1667,-0.35,0.6833
halved-r1@4000,kills,120,0.05,-0.025,0.1333
halved-r1@4000,self_kills,120,-0.15,-0.275,-0.025
halved-r1@4000,survived,120,0.1417,0.0167,0.2667
halved-r1@4000,collection_fraction,120,-0.0093,-0.0417,0.0241
halved-r1@6000,score,120,-0.2667,-0.7583,0.2
halved-r1@6000,kills,120,-0.0417,-0.1,0.0167
halved-r1@6000,self_kills,120,-0.025,-0.1417,0.1
halved-r1@6000,survived,120,0.0083,-0.1,0.1167
halved-r1@6000,collection_fraction,120,-0.0065,-0.0417,0.0296
halved-r2@2000,score,120,0.35,-0.1917,0.9
halved-r2@2000,kills,120,0.05,-0.025,0.1333
halved-r2@2000,self_kills,120,-0.2,-0.3167,-0.0833
halved-r2@2000,survived,120,0.1417,0.025,0.25
halved-r2@2000,collection_fraction,120,0.0111,-0.0231,0.0444
halved-r2@4000,score,120,0.25,-0.25,0.7333
halved-r2@4000,kills,120,0.0333,-0.0333,0.1
halved-r2@4000,self_kills,120,-0.15,-0.275,-0.025
halved-r2@4000,survived,120,0.1083,-0.0083,0.225
halved-r2@4000,collection_fraction,120,0.0093,-0.0278,0.0472
halved-r2@6000,score,120,0.275,-0.1667,0.7417
halved-r2@6000,kills,120,0,-0.0583,0.0667
halved-r2@6000,self_kills,120,-0.1167,-0.2417,0.0083
halved-r2@6000,survived,120,0.1083,-0.0167,0.2333
halved-r2@6000,collection_fraction,120,0.0306,-0.0019,0.0639
halved-r3@2000,score,120,-0.1167,-0.6083,0.3833
halved-r3@2000,kills,120,0.0333,-0.0417,0.1
halved-r3@2000,self_kills,120,-0.1667,-0.2917,-0.0417
halved-r3@2000,survived,120,0.125,0,0.25
halved-r3@2000,collection_fraction,120,-0.0315,-0.0676,0.0046
halved-r3@4000,score,120,0.6917,0.125,1.3
halved-r3@4000,kills,120,0.0833,0,0.1667
halved-r3@4000,self_kills,120,-0.075,-0.2,0.05
halved-r3@4000,survived,120,0,-0.125,0.125
halved-r3@4000,collection_fraction,120,0.0306,-0.0056,0.0676
halved-r3@6000,score,120,0.1833,-0.2833,0.6667
halved-r3@6000,kills,120,0.0083,-0.0583,0.0833
halved-r3@6000,self_kills,120,-0.1083,-0.225,0.0083
halved-r3@6000,survived,120,0.075,-0.0417,0.1917
halved-r3@6000,collection_fraction,120,0.0157,-0.0185,0.05
halved@2000 (pooled),score,120,0.1611,-0.2667,0.5778
halved@2000 (pooled),kills,120,0.0361,-0.0222,0.0944
halved@2000 (pooled),self_kills,120,-0.1806,-0.2778,-0.0806
halved@2000 (pooled),survived,120,0.1333,0.0333,0.2306
halved@2000 (pooled),collection_fraction,120,-0.0022,-0.0318,0.0278
halved@4000 (pooled),score,120,0.3694,-0.0583,0.7833
halved@4000 (pooled),kills,120,0.0556,-0.0028,0.1139
halved@4000 (pooled),self_kills,120,-0.125,-0.2222,-0.0222
halved@4000 (pooled),survived,120,0.0833,-0.0139,0.175
halved@4000 (pooled),collection_fraction,120,0.0102,-0.0188,0.0398
halved@6000 (pooled),score,120,0.0639,-0.3389,0.4583
halved@6000 (pooled),kills,120,-0.0111,-0.0667,0.0417
halved@6000 (pooled),self_kills,120,-0.0833,-0.1833,0.0167
halved@6000 (pooled),survived,120,0.0639,-0.0306,0.1583
halved@6000 (pooled),collection_fraction,120,0.0133,-0.0142,0.041
