artifact,arm,episode,games,score,kills,self_kills,survived,coins,collection_fraction,invalid
reference,reference,0,120,2.85,0.075,0.6333,0.3333,2.475,0.275,1.2833
control-r1@2000,control,2000,120,2.95,0.1417,0.4917,0.4333,2.2417,0.2491,1.2583
control-r2@2000,control,2000,120,3.2417,0.125,0.4583,0.3917,2.6167,0.2907,1.9
control-r3@2000,control,2000,120,2.9167,0.0917,0.4583,0.4167,2.4583,0.2731,1.6333
halved-r1@2000,halved,2000,120,3.1,0.1,0.4583,0.4667,2.6,0.2889,1.2167
halved-r2@2000,halved,2000,120,3.2,0.125,0.4333,0.475,2.575,0.2861,1.6833
halved-r3@2000,halved,2000,120,2.7333,0.1083,0.4667,0.4583,2.1917,0.2435,1.1167
control-r1@4000,control,4000,120,3.0833,0.1167,0.6417,0.3083,2.5,0.2778,1.125
control-r2@4000,control,4000,120,3.1167,0.1417,0.5583,0.3833,2.4083,0.2676,0.9167
control-r3@4000,control,4000,120,2.9583,0.1083,0.6083,0.325,2.4167,0.2685,1.5083
halved-r1@4000,halved,4000,120,3.0167,0.125,0.4833,0.475,2.3917,0.2657,1.225
halved-r2@4000,halved,4000,120,3.1,0.1083,0.4833,0.4417,2.5583,0.2843,1.5583
halved-r3@4000,halved,4000,120,3.5417,0.1583,0.5583,0.3333,2.75,0.3056,1.65
control-r1@6000,control,6000,120,3.5,0.15,0.4333,0.5,2.75,0.3056,1.225
control-r2@6000,control,6000,120,3.1167,0.075,0.3917,0.55,2.7417,0.3046,1.6083
control-r3@6000,control,6000,120,2.975,0.1,0.525,0.4083,2.475,0.275,1.5583
halved-r1@6000,halved,6000,120,2.5833,0.0333,0.6083,0.3417,2.4167,0.2685,1.05
halved-r2@6000,halved,6000,120,3.125,0.075,0.5167,0.4417,2.75,0.3056,1.375
halved-r3@6000,halved,6000,120,3.0333,0.0833,0.525,0.4083,2.6167,0.2907,1.15
